Wavelength (nm);% Transmission
708;0.00002
709;0.00002
710;0.00003
711;0.00003
712;0.00005
713;0.00008
714;0.00014
715;0.00016
716;0.00011
717;0.00006
718;0.00004
719;0.00003
720;0.00003
721;0.00003
722;0.00003
723;0.00005
724;0.00009
725;0.00039
726;0.00019
727;0.00004
728;0.00001
729;0.00001
730;0
731;0
732;0
733;0
734;0
735;0
736;0
737;0
738;0
739;0
740;0
741;0
742;0
743;0
744;0
745;0
746;0
747;0
748;0
749;0
750;0
751;0
752;0
753;0
754;0
755;0
756;0
757;0
758;0
759;0.00001
760;0.00005
761;0.00156
762;0.0001
763;0.00003
764;0.00001
765;0.00001
766;0.00001
767;0.00001
768;0.00001
769;0.00001
770;0.00001
771;0.00001
772;0.00002
773;0.00003
774;0.00008
775;0.00034
776;0.00047
777;0.00009
778;0.00004
779;0.00002
780;0.00001
781;0.00001
782;0.00001
783;0.00001
784;0.00001
785;0.00001
786;0.00001
787;0.00001
788;0.00001
789;0.00001
790;0.00001
791;0.00002
792;0.00003
793;0.00005
794;0.00012
795;0.00028
796;0.00016
797;0.00006
798;0.00003
799;0.00002
800;0.00001
801;0.00001
802;0.00001
803;0.00001
804;0.00001
805;0.00001
806;0.00001
807;0.00001
808;0.00001
809;0.00001
810;0.00001
811;0.00001
812;0.00001
813;0.00001
814;0.00001
815;0.00002
816;0.00002
817;0.00003
818;0.00005
819;0.00009
820;0.00017
821;0.0003
822;0.0003
823;0.00019
824;0.00011
825;0.00008
826;0.00006
827;0.00004
828;0.00004
829;0.00003
830;0.00003
831;0.00003
832;0.00003
833;0.00003
834;0.00003
835;0.00003
836;0.00004
837;0.00004
838;0.00005
839;0.00006
840;0.00008
841;0.0001
842;0.00012
843;0.00015
844;0.00018
845;0.00019
846;0.00018
847;0.00016
848;0.00014
849;0.00011
850;0.0001
851;0.00008
852;0.00007
853;0.00007
854;0.00006
855;0.00006
856;0.00006
857;0.00005
858;0.00005
859;0.00005
860;0.00005
861;0.00006
862;0.00006
863;0.00006
864;0.00007
865;0.00008
866;0.00009
867;0.00011
868;0.00012
869;0.00013
870;0.00012
871;0.00011
872;0.0001
873;0.00008
874;0.00007
875;0.00006
876;0.00005
877;0.00004
878;0.00003
879;0.00003
880;0.00003
881;0.00002
882;0.00002
883;0.00002
884;0.00002
885;0.00002
886;0.00002
887;0.00003
888;0.00003
889;0.00004
890;0.00005
891;0.00006
892;0.00007
893;0.00008
894;0.00009
895;0.0001
896;0.00011
897;0.00012
898;0.00013
899;0.00014
900;0.00016
901;0.00018
902;0.00021
903;0.00026
904;0.00031
905;0.00037
906;0.00044
907;0.0005
908;0.00055
909;0.00058
910;0.0006
911;0.00062
912;0.00062
913;0.00063
914;0.00063
915;0.00064
916;0.00065
917;0.00065
918;0.00066
919;0.00067
920;0.0007
921;0.00073
922;0.00078
923;0.00085
924;0.00095
925;0.00109
926;0.00128
927;0.00155
928;0.00192
929;0.00241
930;0.003
931;0.00357
932;0.00392
933;0.00387
934;0.0035
935;0.003
936;0.00255
937;0.00218
938;0.00191
939;0.00172
940;0.00158
941;0.00149
942;0.00143
943;0.00139
944;0.00135
945;0.00132
946;0.00127
947;0.00121
948;0.00113
949;0.00104
950;0.00095
951;0.00086
952;0.00078
953;0.00072
954;0.00066
955;0.00063
956;0.0006
957;0.00059
958;0.0006
959;0.00062
960;0.00066
961;0.00072
962;0.00082
963;0.00097
964;0.00121
965;0.00159
966;0.00221
967;0.00325
968;0.0049
969;0.00666
970;0.00669
971;0.00494
972;0.00328
973;0.00222
974;0.0016
975;0.00122
976;0.00098
977;0.00082
978;0.00072
979;0.00065
980;0.00061
981;0.00058
982;0.00058
983;0.00058
984;0.0006
985;0.00064
986;0.00069
987;0.00076
988;0.00085
989;0.00097
990;0.00114
991;0.00136
992;0.00168
993;0.00213
994;0.00283
995;0.00396
996;0.00582
997;0.0084
998;0.00957
999;0.00702
1000;0.00399
1001;0.00221
1002;0.0013
1003;0.00081
1004;0.00054
1005;0.00037
1006;0.00027
1007;0.0002
1008;0.00015
1009;0.00012
1010;0.0001
1011;0.00008
1012;0.00007
1013;0.00006
1014;0.00005
1015;0.00004
1016;0.00004
1017;0.00003
1018;0.00003
1019;0.00003
1020;0.00003
1021;0.00002
1022;0.00002
1023;0.00002
1024;0.00002
1025;0.00002
1026;0.00002
1027;0.00002
1028;0.00002
1029;0.00002
1030;0.00002
1031;0.00002
1032;0.00002
1033;0.00002
1034;0.00002
1035;0.00002
1036;0.00002
1037;0.00002
1038;0.00002
1039;0.00002
1040;0.00002
1041;0.00002
1042;0.00002
1043;0.00003
1044;0.00003
1045;0.00003
1046;0.00003
1047;0.00003
1048;0.00003
1049;0.00003
1050;0.00003
1051;0.00003
1052;0.00003
1053;0.00004
1054;0.00004
1055;0.00004
1056;0.00005
1057;0.00005
1058;0.00006
1059;0.00007
1060;0.00008
1061;0.00009
1062;0.00011
1063;0.00013
1064;0.00016
1065;0.0002
1066;0.00026
1067;0.00035
1068;0.00048
1069;0.00069
1070;0.00104
1071;0.00166
1072;0.00277
1073;0.00459
1074;0.00635
1075;0.00615
