Wavelength (nm);% Transmission;% Reflectance
250;1.210128424;1.709980662
251;1.166639529;1.447263563
252;1.298511712;2.466801083
253;1.298601984;1.471390398
254;0.027753352;4.070529198
255;1.303444821;2.091073002
256;1.695944236;2.596342035
257;1.366446007;3.046711433
258;0.840326996;2.854320659
259;1.716271869;3.397233838
260;1.323447886;3.037188987
261;0.859548641;4.065358692
262;0.43802159;5.467069129
263;0.598149087;5.446368421
264;2.248577789;5.115305086
265;1.973696383;4.881205863
266;1.433044251;5.202327659
267;0.957651229;5.543864624
268;1.637673659;5.924870149
269;2.138965802;5.725387485
270;0.451043596;6.677058529
271;1.89435547;5.857173486
272;1.23809063;5.94000993
273;1.619566806;5.537742492
274;1.485961526;5.075041979
275;0.994197539;5.065841268
276;2.196334183;3.619383015
277;1.980939608;4.147583359
278;1.791020608;3.653946735
279;1.197416557;3.985238549
280;1.254643727;4.039532117
281;1.556063018;3.859878766
282;2.744092067;2.364962858
283;1.946661524;2.550763025
284;1.220108778;2.973566775
285;1.808948039;2.374012388
286;1.535032503;2.779404312
287;1.638149878;2.93900134
288;1.234751274;4.878628284
289;0.194091278;6.806188548
290;1.663943624;7.613628541
291;0.88202295;11.8677856
292;1.599607592;14.38620223
293;1.950037808;20.65124319
294;1.216028612;26.99766131
295;0.188376846;36.70901409
296;2.547502057;44.98287799
297;1.257278214;55.72943408
298;0.899252261;66.80223339
299;1.558828407;74.84390346
300;0.636929522;82.85272066
301;1.706660801;87.803997
302;2.980983678;91.63424423
303;0.875144758;93.0604045
304;0.620670848;92.38782429
305;1.436590458;92.93579818
306;2.330798748;91.93709285
307;2.260843161;88.66900362
308;0.722001327;83.49150235
309;0.947891956;75.6488847
310;2.109742017;64.34403007
311;3.114059535;52.46355904
312;4.462907835;44.652666
313;6.718836125;39.1621105
314;8.697575659;36.46125023
315;10.79523496;37.43712726
316;13.97410042;37.41457519
317;17.58532364;37.89261971
318;19.99945346;36.98113428
319;23.63391259;35.95197523
320;24.06615852;34.47136626
321;24.01610053;35.64482621
322;24.88885066;38.0419448
323;23.55586656;41.09682119
324;23.20976813;42.70023171
325;23.2853185;44.21421086
326;22.91843666;43.10643861
327;24.54363935;44.58966213
328;23.06778787;45.27231015
329;22.70021436;46.39747491
330;20.33088872;48.39929681
331;18.94408355;50.55933776
332;16.84984241;53.81347708
333;14.39224285;56.65691059
334;14.30111873;59.75685223
335;14.39414602;59.35701093
336;15.67573213;57.7733352
337;17.80466679;55.86951878
338;19.85194393;54.74937687
339;23.47862998;53.67013088
340;23.60744857;52.6512606
341;25.18260904;52.98163808
342;24.27402157;52.32987811
343;26.07228072;53.97274225
344;25.95573635;53.55126822
345;27.03879148;54.11233256
346;27.1287519;53.10301329
347;27.94232393;53.83671137
348;28.79401564;54.170524
349;29.02035323;55.09623804
350;28.98789416;56.21914823
351;29.09462411;56.06992103
352;30.84344152;55.1355686
353;31.65472553;55.51097023
354;31.11400417;55.19299037
355;30.63566145;56.03429074
356;30.89563067;56.39518264
357;32.51956568;54.9200822
358;35.04491317;52.35978313
359;37.73276461;50.34515878
360;38.58555383;49.26809355
361;39.00555649;49.39362437
362;38.68084871;50.14705141
363;37.74709814;51.59722595
364;36.71664578;53.66970586
365;34.39715814;56.35105846
366;31.83280799;59.294847
367;28.89078455;62.46128279
368;24.91591049;66.10559346
369;21.99031334;69.19989401
370;20.10560769;71.3320465
371;19.43183334;72.36961736
372;19.97484558;72.27495075
373;20.82266963;71.70215121
374;21.05503429;71.64664651
375;20.44079839;73.05988988
376;17.88419328;75.66900425
377;14.95937926;79.28292319
378;10.97359037;82.91865967
379;7.363104119;86.65906666
380;4.45094844;91.91751891
381;2.51386511;91.78861234
382;1.351044075;92.93668996
383;0.829032843;93.35073176
384;0.654893938;93.93905259
385;0.537227648;94.05074119
386;0.548658662;94.4387436
387;0.414867099;94.84314635
388;0.494706599;95.13848661
389;0.499155292;95.22200312
390;0.394844739;95.1364379
391;0.419530399;95.13128319
392;0.360895729;95.27150438
393;0.185023464;95.74473999
394;0.244412706;96.17918457
395;0.099262154;96.36032722
396;0.200687883;96.68089987
397;0.211845737;96.45945658
398;0.062988639;96.47658918
399;0.039707887;96.65282034
400;0.140434521;96.60547887
401;0.139401201;96.82181159
402;0.139126438;96.95157122
403;0.110797354;96.81936298
404;0.145033013;96.57903107
405;0.130393751;96.54766507
406;0.09254347;96.49288008
407;0.254211065;96.7746057
408;0.152469032;97.06451891
409;0.048197808;97.26613836
410;0.027408862;97.54547311
411;0.259632157;97.47305997
412;0.192094495;97.60144836
413;0.08874114;97.51770941
414;0.244809103;97.63028306
415;0.245662572;97.57882854
416;0.133128999;97.51417726
417;0.121315328;97.40488558
418;0.184843503;97.09431032
419;0.11410581;97.10431682
420;0.097510951;97.21540827
421;0.178917643;97.51736486
422;0.125990938;97.94026162
423;0.062358544;98.26407327
424;0.085641481;98.51216962
425;0.080675865;98.60530649
426;0.103120445;98.46311497
427;0.060516123;98.31469746
428;0.120876876;98.2220426
429;0.056520563;98.20292487
430;0.099289302;98.30378246
431;0.152748004;98.3196625
432;0.062517841;98.28041824
433;0.071637303;98.26009009
434;0.064375646;98.14562154
435;0.062720221;98.22908069
436;0.081822481;98.39753991
437;0.083783357;98.56824173
438;0.079614967;98.84677415
439;0.022167742;98.98559177
440;0.037073374;99.02377743
441;0.119466214;98.90584104
442;0.068064561;98.7990074
443;0.027396102;98.73411898
444;0.041996894;98.69027276
445;0.068379824;98.75448296
446;0.017790622;98.9620695
447;0.083525676;99.08723426
448;0.046785437;99.1580959
449;0.048761328;99.12189318
450;0.027286333;98.99421107
451;0.034795276;98.82138304
452;0.053939571;98.77801607
453;0.079335211;98.81665437
454;0.076436614;98.87769219
455;0.076032322;99.09725439
456;0.070492514;99.19904797
457;0.031782799;99.23938804
458;0.046771559;99.20555832
459;0.047323255;99.03360567
460;0.07085797;98.9376579
461;0.039034807;98.82907991
462;0.06072332;98.88411115
463;0.020261007;98.97745757
464;0.042246572;99.16179044
465;0.017939361;99.28905948
466;0.011753086;99.33565094
467;0.013620649;99.29858857
468;0.040670048;99.21659839
469;0.049218013;99.08947865
470;0.051854174;98.99755686
471;0.027774075;98.94054128
472;0.04759616;98.98073296
473;0.050485382;99.1732039
474;0.023096918;99.31829935
475;0.013923665;99.40272493
476;0.047576616;99.49305816
477;0.008890634;99.41327862
478;0.050015315;99.30336731
479;0.027909757;99.13823685
480;0.048339764;98.99300964
481;0.037999893;98.95709906
482;0.024540045;98.99132325
483;0.025957121;99.17961832
484;0.021342463;99.32032162
485;0.03601808;99.4808536
486;0.044175009;99.51889801
487;0.054899929;99.5109138
488;0.040613417;99.35748523
489;0.023320879;99.19138759
490;0.038279409;99.01117015
491;0.070130728;98.94432328
492;0.039538626;99.00297339
493;0.034014352;99.11358491
494;0.040581557;99.32631661
495;0.049715102;99.5214606
496;0.029196552;99.6065651
497;0.014289296;99.57389191
498;0.036300482;99.43428874
499;0.026785437;99.24798874
500;0.041809424;99.02941669
501;0.04599096;98.89110896
502;0.051375908;98.8850965
503;0.055169874;98.99369377
504;0.051278509;99.25947059
505;0.050609359;99.45680674
506;0.047268055;99.55083235
507;0.058907979;99.51768921
508;0.102817255;99.32063537
509;0.167906762;99.02023305
510;0.278759278;98.7115548
511;0.334207358;98.53402222
512;0.380334226;98.55941969
513;0.348140498;98.76166127
514;0.269319324;99.05531233
515;0.192453852;99.40068261
516;0.120889636;99.65999284
517;0.085590285;99.78884993
518;0.065395607;99.89567237
519;0.040495524;99.89963103
520;0.041435625;99.94322953
521;0.048818446;99.95432055
522;0.060014497;99.96614165
523;0.047651368;99.96090036
524;0.056112352;99.95251551
525;0.096444234;99.90501284
526;0.202706385;99.8052222
527;0.423834121;99.61745561
528;0.695037747;99.34553324
529;1.027960711;98.96429308
530;1.372393494;98.64506165
531;1.683996954;98.33595632
532;1.969858795;98.05002548
533;2.260719808;97.77380271
534;2.512639307;97.54472419
535;2.774731715;97.26354985
536;3.197702307;96.81831825
537;4.169793289;95.83346063
538;6.192057414;93.78468089
539;9.624633219;90.25917154
540;14.44086475;85.41574307
541;20.43962784;79.38089015
542;27.03800046;72.80560169
543;33.51096163;66.36456916
544;39.1040809;60.71260266
545;43.57351214;56.28947944
546;46.63639447;53.29162921
547;48.54524557;51.40600761
548;49.87926818;50.11147783
