? (nm);T (%);? (nm);OD
232.2;0.028986782;232.2;3.5378
232.4;0.055347754;232.4;3.2569
232.6;0.164058977;232.6;2.785
232.8;0.548908556;232.8;2.2605
233;0.161435856;233;2.792
233.2;0.061758964;233.2;3.2093
233.4;0.044709519;233.4;3.3496
233.6;0.053789809;233.6;3.2693
233.8;0.109194308;233.8;2.9618
234;0.272834948;234;2.5641
234.2;0.057266416;234.2;3.2421
234.4;0.006576578;234.4;4.182
234.6;0.001559553;234.6;4.807
234.8;0.000668498;234.8;5.1749
235;0.000466015;235;5.3316
235.2;0.000500495;235.2;5.3006
235.4;0.000796526;235.4;5.0988
235.6;0.001688107;235.6;4.7726
235.8;0.003522086;235.8;4.4532
236;0.006130558;236;4.2125
236.2;0.011376273;236.2;3.944
236.4;0.021592354;236.4;3.6657
236.6;0.032501245;236.6;3.4881
236.8;0.043701868;236.8;3.3595
237;0.056689157;237;3.2465
237.2;0.067483873;237.2;3.1708
237.4;0.076365992;237.4;3.1171
237.6;0.099014774;237.6;3.0043
237.8;0.195074274;237.8;2.7098
238;0.74576157;238;2.1274
238.2;0.816770418;238.2;2.0879
238.4;0.226412291;238.4;2.6451
238.6;0.057292794;238.6;3.2419
238.8;0.014092888;238.8;3.851
239;0.004870797;239;4.3124
239.2;0.002539803;239.2;4.5952
239.4;0.001998021;239.4;4.6994
239.6;0.002469449;239.6;4.6074
239.8;0.005666306;239.8;4.2467
240;0.025668471;240;3.5906
240.2;0.007545708;240.2;4.1223
240.4;0.002841188;240.4;4.5465
240.6;0.002237175;240.6;4.6503
240.8;0.003319709;240.8;4.4789
241;0.011339659;241;3.9454
241.2;0.018428925;241.2;3.7345
241.4;0.004763213;241.4;4.3221
241.6;0.002474002;241.6;4.6066
241.8;0.001961101;241.8;4.7075
242;0.002573357;242;4.5895
242.2;0.008857272;242.2;4.0527
242.4;0.006831247;242.4;4.1655
242.6;0.001860801;242.6;4.7303
242.8;0.001899328;242.8;4.7214
243;0.002867477;243;4.5425
243.2;0.000408413;243.2;5.3889
243.4;0.000122914;243.4;5.9104
243.6;7.71259E-05;243.6;6.1128
243.8;9.79941E-05;243.8;6.0088
244;0.000372477;244;5.4289
244.2;0.000206681;244.2;5.6847
244.4;4.28154E-05;244.4;6.3684
244.6;2.39001E-05;244.6;6.6216
244.8;2.52872E-05;244.8;6.5971
245;4.90117E-05;245;6.3097
245.2;0.000193508;245.2;5.7133
245.4;0.000522757;245.4;5.2817
245.6;8.21864E-05;245.6;6.0852
245.8;1.56135E-05;245.8;6.8065
246;5.21915E-06;246;7.2824
246.2;2.85496E-06;246.2;7.5444
246.4;2.49459E-06;246.4;7.603
246.6;3.83972E-06;246.6;7.4157
246.8;1.43747E-05;246.8;6.8424
247;8.8308E-06;247;7.054
247.2;1.9494E-06;247.2;7.7101
247.4;9.5918E-07;247.4;8.0181
247.6;7.61728E-07;247.6;8.1182
247.8;8.81658E-07;247.8;8.0547
248;1.4983E-06;248;7.8244
248.2;4.22377E-06;248.2;7.3743
248.4;2.79383E-05;248.4;6.5538
248.6;5.97861E-05;248.6;6.2234
248.8;3.5156E-05;248.8;6.454
249;9.22784E-05;249;6.0349
249.2;4.35311E-05;249.2;6.3612
249.4;1.00995E-05;249.4;6.9957
249.6;6.45208E-06;249.6;7.1903
249.8;9.4973E-06;249.8;7.0224
250;3.84503E-05;250;6.4151
250.2;1.30677E-05;250.2;6.8838
250.4;3.84061E-06;250.4;7.4156
250.6;2.5142E-06;250.6;7.5996
250.8;2.93968E-06;250.8;7.5317
251;6.36942E-06;251;7.1959
251.2;3.3566E-05;251.2;6.4741
251.4;4.55198E-05;251.4;6.3418
251.6;2.16721E-05;251.6;6.6641
251.8;3.26137E-05;251.8;6.4866
252;0.000171238;252;5.7664
252.2;0.000164892;252.2;5.7828
252.4;0.000174301;252.4;5.7587
252.6;2.29192E-05;252.6;6.6398
252.8;3.3861E-06;252.8;7.4703
253;1.23595E-06;253;7.908
253.2;8.21864E-07;253.2;8.0852
253.4;9.56093E-07;253.4;8.0195
253.6;2.35668E-06;253.6;7.6277
253.8;1.15531E-05;253.8;6.9373
254;2.28349E-06;254;7.6414
254.2;1.02306E-06;254.2;7.9901
254.4;1.00231E-06;254.4;7.999
254.6;1.92221E-06;254.6;7.7162
254.8;8.99705E-06;254.8;7.0459
255;3.2802E-05;255;6.4841
255.2;1.71672E-05;255.2;6.7653
255.4;3.96187E-05;255.4;6.4021
255.6;0.000125516;255.6;5.9013
255.8;6.56901E-05;255.8;6.1825
256;3.63831E-06;256;7.4391
256.2;3.81329E-07;256.2;8.4187
256.4;9.0469E-08;256.4;9.0435
256.6;3.50348E-08;256.6;9.4555
256.8;1.9494E-08;256.8;9.7101
257;1.4832E-08;257;9.8288
257.2;1.5325E-08;257.2;9.8146
257.4;2.22844E-08;257.4;9.652
257.6;5.08628E-08;257.6;9.2936
257.8;2.31686E-07;257.8;8.6351
258;4.53002E-07;258;8.3439
258.2;1.76604E-07;258.2;8.753
258.4;1.52405E-07;258.4;8.817
258.6;2.64119E-07;258.6;8.5782
258.8;1.07127E-06;258.8;7.9701
259;3.90481E-06;259;7.4084
259.2;1.33968E-06;259.2;7.873
259.4;1.36176E-06;259.4;7.8659
259.6;4.27071E-06;259.6;7.3695
259.8;3.28473E-06;259.8;7.4835
260;8.86543E-07;260;8.0523
260.2;5.89251E-07;260.2;8.2297
260.4;7.59102E-07;260.4;8.1197
260.6;1.91073E-06;260.6;7.7188
260.8;1.05512E-05;260.8;6.9767
261;1.51635E-05;261;6.8192
261.2;1.39862E-06;261.2;7.8543
261.4;2.60196E-07;261.4;8.5847
261.6;8.9002E-08;261.6;9.0506
261.8;4.69353E-08;261.8;9.3285
262;3.4898E-08;262;9.4572
262.2;3.51722E-08;262.2;9.4538
262.4;4.77419E-08;262.4;9.3211
262.6;8.87769E-08;262.6;9.0517
262.8;2.2532E-07;262.8;8.6472
263;5.93882E-07;263;8.2263
263.2;9.44713E-07;263.2;8.0247
263.4;1.59919E-06;263.4;7.7961
263.6;6.36356E-06;263.6;7.1963
263.8;4.71086E-06;263.8;7.3269
264;1.39766E-06;264;7.8546
264.2;9.66941E-07;264.2;8.0146
264.4;9.98849E-07;264.4;8.0005
264.6;8.80846E-07;264.6;8.0551
264.8;5.67675E-07;264.8;8.2459
265;4.14954E-07;265;8.382
265.2;4.2063E-07;265.2;8.3761
265.4;6.21727E-07;265.4;8.2064
265.6;1.44611E-06;265.6;7.8398
265.8;6.70811E-06;265.8;7.1734
266;1.97925E-05;266;6.7035
266.2;4.26089E-06;266.2;7.3705
266.4;1.9081E-06;266.4;7.7194
266.6;1.4345E-06;266.6;7.8433
266.8;1.5181E-06;266.8;7.8187
267;1.28647E-06;267;7.8906
267.2;6.35331E-07;267.2;8.197
267.4;3.65679E-07;267.4;8.4369
267.6;3.35892E-07;267.6;8.4738
267.8;5.90745E-07;267.8;8.2286
268;2.92954E-06;268;7.5332
268.2;8.45668E-07;268.2;8.0728
268.4;1.62855E-07;268.4;8.7882
268.6;4.37522E-08;268.6;9.359
268.8;1.28766E-08;268.8;9.8902
269;4.56773E-09;269;10.3403
269.2;2.03986E-09;269.2;10.6904
269.4;1.1392E-09;269.4;10.9434
269.6;7.8361E-10;269.6;11.1059
269.8;6.58567E-10;269.8;11.1814
270;6.78735E-10;270;11.1683
270.2;8.7438E-10;270.2;11.0583
270.4;1.47231E-09;270.4;10.832
270.6;3.49784E-09;270.6;10.4562
270.8;1.08368E-08;270.8;9.9651
271;1.25112E-08;271;9.9027
271.2;7.72503E-09;271.2;10.1121
271.4;7.35529E-09;271.4;10.1334
271.6;1.15904E-08;271.6;9.9359
271.8;3.11172E-08;271.8;9.507
272;1.38229E-07;272;8.8594
272.2;1.37911E-07;272.2;8.8604
272.4;1.18005E-08;272.4;9.9281
272.6;2.208E-09;272.6;10.656
272.8;7.03396E-10;272.8;11.1528
273;3.19521E-10;273;11.4955
273.2;1.89583E-10;273.2;11.7222
273.4;1.40185E-10;273.4;11.8533
273.6;1.26038E-10;273.6;11.8995
273.8;1.36301E-10;273.8;11.8655
274;1.77542E-10;274;11.7507
274.2;2.82488E-10;274.2;11.549
274.4;5.66761E-10;274.4;11.2466
274.6;1.51078E-09;274.6;10.8208
274.8;5.29785E-09;274.8;10.2759
275;1.18659E-08;275;9.9257
275.2;1.07969E-08;275.2;9.9667
275.4;1.20726E-08;275.4;9.9182
275.6;2.32916E-08;275.6;9.6328
275.8;1.00763E-07;275.8;8.9967
276;1.03681E-07;276;8.9843
276.2;2.40104E-08;276.2;9.6196
276.4;1.03205E-08;276.4;9.9863
276.6;5.79562E-09;276.6;10.2369
276.8;3.78355E-09;276.8;10.4221
277;2.84774E-09;277;10.5455
277.2;2.50438E-09;277.2;10.6013
277.4;2.56921E-09;277.4;10.5902
277.6;2.9662E-09;277.6;10.5278
277.8;3.5156E-09;277.8;10.454
278;3.80189E-09;278;10.42
278.2;3.69488E-09;278.2;10.4324
278.4;3.60164E-09;278.4;10.4435
278.6;3.90211E-09;278.6;10.4087
278.8;4.94766E-09;278.8;10.3056
279;7.51104E-09;279;10.1243
279.2;1.38899E-08;279.2;9.8573
279.4;3.19595E-08;279.4;9.4954
279.6;9.45366E-08;279.6;9.0244
279.8;3.75751E-07;279.8;8.4251
280;2.08833E-06;280;7.6802
280.2;1.66648E-05;280.2;6.7782
280.4;0.000140346;280.4;5.8528
280.6;3.73852E-05;280.6;6.4273
280.8;1.90722E-05;280.8;6.7196
281;2.21004E-05;281;6.6556
281.2;6.09256E-05;281.2;6.2152
281.4;0.000156567;281.4;5.8053
281.6;3.13473E-05;281.6;6.5038
281.8;1.34896E-05;281.8;6.87
282;9.49948E-06;282;7.0223
282.2;9.1791E-06;282.2;7.0372
282.4;1.21339E-05;282.4;6.916
282.6;2.56626E-05;282.6;6.5907
282.8;0.000102023;282.8;5.9913
283;3.78007E-05;283;6.4225
283.2;1.10484E-05;283.2;6.9567
283.4;5.9484E-06;283.4;7.2256
283.6;4.45656E-06;283.6;7.351
283.8;3.85745E-06;283.8;7.4137
284;3.35197E-06;284;7.4747
284.2;2.86088E-06;284.2;7.5435
284.4;2.63148E-06;284.4;7.5798
284.6;2.88536E-06;284.6;7.5398
284.8;4.07474E-06;284.8;7.3899
285;8.13954E-06;285;7.0894
285.2;2.78548E-05;285.2;6.5551
285.4;0.000179184;285.4;5.7467
285.6;7.54745E-05;285.6;6.1222
285.8;2.83139E-05;285.8;6.548
286;1.42626E-05;286;6.8458
286.2;7.93963E-06;286.2;7.1002
286.4;5.236E-06;286.4;7.281
286.6;4.37421E-06;286.6;7.3591
286.8;4.78961E-06;286.8;7.3197
287;7.14661E-06;287;7.1459
287.2;1.5729E-05;287.2;6.8033
287.4;5.98825E-05;287.4;6.2227
287.6;0.000255094;287.6;5.5933
287.8;0.000135363;287.8;5.8685
288;5.71742E-05;288;6.2428
288.2;2.19584E-05;288.2;6.6584
288.4;9.58738E-06;288.4;7.0183
288.6;5.50301E-06;288.6;7.2594
288.8;4.14763E-06;288.8;7.3822
289;4.0059E-06;289;7.3973
289.2;4.85512E-06;289.2;7.3138
289.4;7.21606E-06;289.4;7.1417
289.6;1.24968E-05;289.6;6.9032
289.8;2.27353E-05;289.8;6.6433
290;4.02161E-05;290;6.3956
290.2;7.84332E-05;290.2;6.1055
290.4;0.000232541;290.4;5.6335
290.6;0.001520898;290.6;4.8179
290.8;0.001191242;290.8;4.924
291;0.000754745;291;5.1222
291.2;0.001472991;291.2;4.8318
291.4;0.001164394;291.4;4.9339
291.6;0.000323668;291.6;5.4899
291.8;0.000196743;291.8;5.7061
292;0.000236483;292;5.6262
292.2;0.000564417;292.2;5.2484
292.4;0.000894129;292.4;5.0486
292.6;0.000291474;292.6;5.5354
292.8;9.58738E-05;292.8;6.0183
293;2.87078E-05;293;6.542
293.2;9.71404E-06;293.2;7.0126
293.4;4.24815E-06;293.4;7.3718
293.6;2.39662E-06;293.6;7.6204
293.8;1.69785E-06;293.8;7.7701
294;1.47028E-06;294;7.8326
294.2;1.51112E-06;294.2;7.8207
294.4;1.75186E-06;294.4;7.7565
294.6;2.10329E-06;294.6;7.6771
294.8;2.41546E-06;294.8;7.617
295;2.746E-06;295;7.5613
295.2;3.59915E-06;295.2;7.4438
295.4;6.62674E-06;295.4;7.1787
295.6;1.48354E-05;295.6;6.8287
295.8;5.61953E-06;295.8;7.2503
296;1.63268E-06;296;7.7871
296.2;7.38074E-07;296.2;8.1319
296.4;4.67089E-07;296.4;8.3306
296.6;4.00682E-07;296.6;8.3972
296.8;4.90795E-07;296.8;8.3091
297;1.00138E-06;297;7.9994
297.2;1.59661E-06;297.2;7.7968
297.4;3.36279E-07;297.4;8.4733
297.6;1.01065E-07;297.6;8.9954
297.8;4.61318E-08;297.8;9.336
298;2.75931E-08;298;9.5592
298.2;2.01976E-08;298.2;9.6947
298.4;1.75509E-08;298.4;9.7557
298.6;1.79556E-08;298.6;9.7458
298.8;2.18524E-08;298.8;9.6605
299;3.24638E-08;299;9.4886
299.2;5.95662E-08;299.2;9.225
299.4;1.06488E-07;299.4;8.9727
299.6;9.13692E-08;299.6;9.0392
299.8;5.34072E-08;299.8;9.2724
300;3.80365E-08;300;9.4198
300.2;3.61993E-08;300.2;9.4413
300.4;4.62168E-08;300.4;9.3352
300.6;7.99466E-08;300.6;9.0972
300.8;1.41124E-07;300.8;8.8504
301;1.01485E-07;301;8.9936
301.2;5.2517E-08;301.2;9.2797
301.4;3.71279E-08;301.4;9.4303
301.6;3.92193E-08;301.6;9.4065
301.8;6.59326E-08;301.8;9.1809
302;8.58223E-08;302;9.0664
302.2;2.2751E-08;302.2;9.643
302.4;7.12197E-09;302.4;10.1474
302.6;3.25162E-09;302.6;10.4879
302.8;1.94402E-09;302.8;10.7113
303;1.43913E-09;303;10.8419
303.2;1.29509E-09;303.2;10.8877
303.4;1.43516E-09;303.4;10.8431
303.6;2.07539E-09;303.6;10.6829
303.8;4.52481E-09;303.8;10.3444
304;1.45345E-08;304;9.8376
304.2;5.90745E-09;304.2;10.2286
304.4;1.84714E-09;304.4;10.7335
304.6;1.00925E-09;304.6;10.996
304.8;8.49963E-10;304.8;11.0706
305;1.07944E-09;305;10.9668
305.2;1.35831E-09;305.2;10.867
305.4;4.69894E-10;305.4;11.328
305.6;1.34369E-10;305.6;11.8717
305.8;5.3064E-11;305.8;12.2752
306;2.71394E-11;306;12.5664
306.2;1.68966E-11;306.2;12.7722
306.4;1.23652E-11;306.4;12.9078
306.6;1.04352E-11;306.6;12.9815
306.8;1.00716E-11;306.8;12.9969
307;1.11045E-11;307;12.9545
307.2;1.41091E-11;307.2;12.8505
307.4;2.11106E-11;307.4;12.6755
307.6;4.81504E-11;307.6;12.3174
