Wavelength (nm);P-Polarized;S-Polarized;;;
436;82,60108948;82,19905853;;;
437;82,49568939;82,10227203;;;
438;82,49507141;82,25210571;;;
439;82,50028992;82,21191406;;;
440;82,48809814;82,38072205;;;
441;82,46016693;82,43094635;;;
442;82,41493225;82,39652252;;;
443;82,45649719;82,42678833;;;
444;82,39213562;82,47861481;;;
445;82,39232635;82,59867096;;;
446;82,37666321;82,61004639;;;
447;82,33272552;82,65358734;;;
448;82,36949158;82,76322174;;;
449;82,33023071;82,68508911;;;
450;82,30474854;82,82169342;;;
451;82,32228851;82,90406799;;;
452;82,34314728;82,90084839;;;
453;82,2974472;83,03224945;;;
454;82,25630188;82,97541809;;;
455;82,27223969;83,14096069;;;
456;82,28886414;83,1930542;;;
457;82,32454681;83,27658844;;;
458;82,24302673;83,25442505;;;
459;82,2821579;83,27067566;;;
460;82,29658508;83,37471008;;;
461;82,27882385;83,45396423;;;
462;82,2842865;83,44949341;;;
463;82,28154755;83,54506683;;;
464;82,33769226;83,53544617;;;
465;82,35651398;83,64318848;;;
466;82,36784363;83,68696594;;;
467;82,37451172;83,76516724;;;
468;82,39838409;83,79414368;;;
469;82,46926117;83,86081696;;;
470;82,49757385;84,04006958;;;
471;82,52220154;83,97821808;;;
472;82,54826355;84,07556152;;;
473;82,57971191;84,099823;;;
474;82,60494995;84,19220734;;;
475;82,64938354;84,19563293;;;
476;82,66150665;84,2900238;;;
477;82,7013092;84,28218079;;;
478;82,70444489;84,31762695;;;
479;82,744133;84,44667816;;;
480;82,83720398;84,44439697;;;
481;82,8784256;84,4763031;;;
482;82,88793945;84,55010986;;;
483;82,93157196;84,51064301;;;
484;82,97859192;84,5026474;;;
485;82,97618866;84,62452698;;;
486;83,0638504;84,64860535;;;
487;83,10829926;84,70227814;;;
488;83,12676239;84,74144745;;;
489;83,18430328;84,79652405;;;
490;83,23371887;84,78408813;;;
491;83,25710297;84,81650543;;;
492;83,29507446;84,85601044;;;
493;83,34766388;84,85114288;;;
494;83,37187195;84,90380096;;;
495;83,39296722;84,95339966;;;
496;83,4487381;84,91602325;;;
497;83,49597931;84,98699188;;;
498;83,53877258;85,03792572;;;
499;83,5458374;85,01734924;;;
500;83,60826874;85,01898956;;;
501;83,63387299;84,99932098;;;
502;83,65635681;85,01760101;;;
503;83,65684509;85,03353882;;;
504;83,69923401;84,99266815;;;
505;83,75806427;84,99188995;;;
506;83,77087402;84,9264679;;;
507;83,78488922;84,90274048;;;
508;83,80059814;84,93757629;;;
509;83,81902313;84,94760132;;;
510;83,87683868;84,91457367;;;
511;83,86968994;84,84992981;;;
512;83,87536621;84,83457184;;;
513;83,91227722;84,81691742;;;
514;83,94900513;84,82058716;;;
515;83,93983459;84,79354858;;;
516;83,93171692;84,77073669;;;
517;83,96286011;84,77081299;;;
518;83,94635773;84,77928925;;;
519;83,94464874;84,79018402;;;
520;83,96844482;84,729599;;;
521;83,99172974;84,67450714;;;
522;83,9797287;84,73355103;;;
523;83,99960327;84,63812256;;;
524;83,96270752;84,63378906;;;
525;83,99408722;84,57885742;;;
526;84,02024841;84,64204407;;;
527;84,00050354;84,53283691;;;
528;84,00251007;84,49239349;;;
529;84,01478577;84,41675568;;;
530;84,03302765;84,3888855;;;
531;84,0446701;84,42272949;;;
532;84,03526306;84,34225464;;;
533;84,04792786;84,30653381;;;
534;84,04071045;84,21259308;;;
535;84,04199219;84,25234222;;;
536;84,0508728;84,1872406;;;
537;84,06056976;84,10866547;;;
538;84,06759644;84,08525848;;;
539;84,05330658;84,08907318;;;
540;84,05728149;84,02334595;;;
541;84,07965088;84,01085663;;;
542;84,07896423;84,00080109;;;
543;84,05711365;84,01945496;;;
544;84,06672668;83,99420929;;;
545;84,07686615;83,93572998;;;
546;84,08247375;83,9278717;;;
547;84,11374664;83,87017059;;;
548;84,08800507;83,88396454;;;
549;84,08622742;83,86968231;;;
550;84,12593079;83,80395508;;;
551;84,13079834;83,78184509;;;
552;84,14285278;83,741539;;;
553;84,1734848;83,68565369;;;
554;84,16795349;83,6876297;;;
555;84,16378784;83,64199066;;;
556;84,17754364;83,57740784;;;
557;84,19139862;83,55495453;;;
558;84,22299957;83,52554321;;;
559;84,21971893;83,4657135;;;
560;84,21943665;83,43196106;;;
561;84,25041199;83,38428497;;;
562;84,21756744;83,29106903;;;
563;84,26423645;83,26846313;;;
564;84,27577209;83,23555756;;;
565;84,27681732;83,14678955;;;
566;84,29754639;83,14331055;;;
567;84,33300018;83,18365479;;;
568;84,34557343;83,11817169;;;
569;84,30732727;83,07733154;;;
570;84,32413483;83,05175018;;;
571;84,33215332;83,02984619;;;
572;84,3294754;83,00814056;;;
573;84,34513092;82,94894409;;;
574;84,38114166;82,93870544;;;
575;84,39447021;82,8996582;;;
576;84,41863251;82,87961578;;;
577;84,41296387;82,80927277;;;
578;84,48055267;82,80756378;;;
579;84,45141602;82,68292236;;;
580;84,49199677;82,70291901;;;
581;84,50205231;82,68224335;;;
582;84,49190521;82,63401031;;;
583;84,52914429;82,5655899;;;
584;84,52974701;82,50627136;;;
585;84,5463562;82,4609375;;;
586;84,57441711;82,47951508;;;
587;84,58805084;82,45222473;;;
588;84,57645416;82,44167328;;;
589;84,59838104;82,41741943;;;
590;84,6063385;82,35290527;;;
591;84,62272644;82,40357971;;;
592;84,62747955;82,35215759;;;
593;84,64868164;82,41827393;;;
594;84,62781525;82,39175415;;;
595;84,63895416;82,45194244;;;
596;84,63515472;82,42298126;;;
597;84,6255188;82,44874573;;;
598;84,62367249;82,50377655;;;
599;84,64305115;82,52467346;;;
600;84,63448334;82,5212326;;;
601;84,63941956;82,56652069;;;
602;84,65032196;82,53765106;;;
603;84,63660431;82,57233429;;;
604;84,64181519;82,58540344;;;
605;84,6188736;82,58300018;;;
606;84,64497375;82,5504303;;;
607;84,63370514;82,54309082;;;
608;84,63661957;82,55556488;;;
609;84,61806488;82,55493927;;;
610;84,62286377;82,47867584;;;
611;84,62482452;82,42487335;;;
612;84,61326599;82,47225952;;;
613;84,58456421;82,39089966;;;
614;84,59616089;82,35035706;;;
615;84,58544922;82,28217316;;;
616;84,58558655;82,27593231;;;
617;84,57313538;82,18897247;;;
618;84,57649231;82,17840576;;;
619;84,54719543;82,12775421;;;
620;84,55844116;82,07555389;;;
621;84,55822754;82,00255585;;;
622;84,58002472;81,9560318;;;
623;84,55508423;81,92772675;;;
624;84,55831146;81,87657928;;;
625;84,54397583;81,85932922;;;
626;84,57119751;81,86730957;;;
627;84,56401825;81,72560883;;;
628;84,56815338;81,73750305;;;
629;84,5422287;81,70096588;;;
630;84,55474854;81,62560272;;;
631;84,5560379;81,5758667;;;
632;84,55817413;81,55220032;;;
633;84,54171753;81,54589844;;;
634;84,53890228;81,49993134;;;
635;84,52219391;81,48694611;;;
636;84,52648163;81,40539551;;;
637;84,5174408;81,37736511;;;
638;84,52122498;81,35578918;;;
639;84,49912262;81,28083801;;;
640;84,49105835;81,26815796;;;
641;84,48560333;81,29170227;;;
642;84,49987793;81,21984863;;;
643;84,47689819;81,27083588;;;
644;84,46234131;81,22291565;;;
645;84,46357727;81,23055267;;;
646;84,45824432;81,19490814;;;
647;84,44013977;81,16330719;;;
648;84,46704865;81,20311737;;;
649;84,44359589;81,13709259;;;
650;84,43623352;81,15337372;;;
651;84,41814423;81,25213623;;;
652;84,44242859;81,16836548;;;
653;84,41214752;81,19008636;;;
654;84,405159;81,14393616;;;
655;84,37931824;81,19927979;;;
656;84,37477112;81,28556824;;;
657;84,36869049;81,2713623;;;
658;84,34837341;81,26846313;;;
659;84,3254776;81,29555511;;;
660;84,33956909;81,29766846;;;
661;84,31437683;81,33137512;;;
662;84,33435059;81,37850952;;;
663;84,32758331;81,37958527;;;
664;84,30130005;81,3371048;;;
665;84,2898407;81,37999725;;;
666;84,31678009;81,39418793;;;
667;84,27593994;81,43704224;;;
668;84,29576874;81,42731476;;;
669;84,24104309;81,42996216;;;
670;84,22014618;81,39037323;;;
671;84,23889923;81,39131927;;;
672;84,24965668;81,39361572;;;
673;84,24795532;81,45143127;;;
674;84,20910645;81,41440582;;;
675;84,20625305;81,36278534;;;
676;84,20597076;81,34527588;;;
677;84,20511627;81,33460236;;;
678;84,1853714;81,39540863;;;
679;84,16442108;81,37667847;;;
680;84,14016724;81,33685303;;;
681;84,1437912;81,30323792;;;
682;84,12016296;81,27572632;;;
683;84,12203217;81,3608551;;;
684;84,09890747;81,2651062;;;
685;84,0981369;81,32227325;;;
686;84,08144379;81,27439117;;;
687;84,09275055;81,21826935;;;
688;84,07281494;81,27109528;;;
689;84,07082367;81,27354431;;;
690;84,0562973;81,23292542;;;
691;84,04734039;81,25641028;;;
692;84,04871368;81,35681702;;;
693;84,04168701;81,37325;;;
694;84,01896667;81,28329117;;;
695;83,99724579;81,21826935;;;
696;84,00926971;81,27109528;;;
697;83,99507141;81,27354431;;;
698;83,97172546;81,31492542;;;
699;83,97918701;81,26741028;;;
700;83,93364716;81,22181702;;;
701;83,91855621;81,22385406;;;
702;83,915802;81,22407532;;;
703;83,89610291;81,23497009;;;
704;83,88570404;81,19776154;;;
705;83,87522125;81,18708801;;;
706;83,86711121;81,28153992;;;
707;83,84641266;81,26437378;;;
708;83,83528137;81,21988678;;;
709;83,82634735;81,24259949;;;
710;83,81455231;81,24771118;;;
711;83,78155518;81,23101044;;;
712;83,77798462;81,25622559;;;
713;83,75946045;81,30513763;;;
714;83,73553467;81,20913696;;;
