Wavelength (nm);% Transmission
200;0.038815037
200.2;0.115000572
200.4;0.34316264
200.6;0.417253511
200.8;0.216271852
201;0.18724059
201.2;0.242940544
201.4;0.290402265
201.6;0.200493363
201.8;0.12956867
202;0.154810353
202.2;0.191734383
202.4;0.067158347
202.6;0.049704991
202.8;0.10624292
203;0.242437613
203.2;0.10280163
203.4;0.035636907
203.6;0.016184527
203.8;0.013055695
204;0.016998085
204.2;0.022413
204.4;0.024666072
204.6;0.044884873
204.8;0.218323256
205;0.204361932
205.2;0.179266855
205.4;0.01445107
205.6;0.004345102
205.8;0.003513177
206;0.006689598
206.2;0.034817694
206.4;0.549414352
206.6;1.631548544
206.8;0.593745047
207;0.170568959
207.2;0.128174018
207.4;0.25650746
207.6;0.026983607
207.8;0.011457767
208;0.00807235
208.2;0.004898916
208.4;0.00616453
208.6;0.014825181
208.8;0.003882398
209;0.003291547
209.2;0.013031668
209.4;0.011199535
209.6;0.001113525
209.8;0.000321662
210;0.00028622
210.2;0.000320922
210.4;5.79562E-05
210.6;2.83531E-05
210.8;6.09677E-05
211;1.70373E-05
211.2;2.39662E-06
211.4;9.92659E-07
211.6;8.13205E-07
211.8;1.21563E-06
212;3.4906E-06
212.2;2.24027E-05
212.4;0.000315937
212.6;0.003149923
212.8;0.000429536
213;4.43711E-05
213.2;1.7342E-05
213.4;2.15973E-05
213.6;0.000104641
213.8;2.77332E-05
214;1.22011E-05
214.2;1.40896E-05
214.4;1.00624E-05
214.6;2.4581E-06
214.8;9.50167E-07
215;6.40324E-07
215.2;7.29625E-07
215.4;1.47707E-06
215.6;6.54184E-06
215.8;8.89201E-05
216;7.2477E-05
216.2;8.531E-05
216.4;8.41589E-05
216.6;5.36661E-05
216.8;4.52689E-05
217;5.70821E-05
217.2;0.00015021
217.4;0.00037051
217.6;5.41876E-05
217.8;1.94402E-05
218;1.23481E-05
218.2;1.21759E-05
218.4;1.77869E-05
218.6;2.91139E-05
218.8;2.93495E-05
219;2.66809E-05
219.2;3.21218E-05
219.4;2.08209E-05
219.6;7.1105E-06
219.8;3.35738E-06
220;2.39221E-06
220.2;2.44231E-06
220.4;3.38922E-06
220.6;5.89929E-06
220.8;1.15851E-05
221;2.60916E-05
221.2;8.23948E-05
221.4;0.000343479
