Wavelength (nm);Optical Density;% Transmission
437;6,030592;9,31983E-05
438;5,949174;0,000112415
439;6,055342;8,80355E-05
440;6,021877;9,50874E-05
441;5,934383;0,00011631
442;5,927128;0,000118269
443;5,958094;0,00011013
444;5,95818;0,000110108
445;5,950531;0,000112065
446;5,943111;0,000113996
447;5,996473;0,000100815
448;6,028196;9,37139E-05
449;5,955598;0,000110765
450;5,921783;0,000119734
451;5,89369;0,000127735
452;5,952382;0,000111588
453;5,976892;0,000105465
454;5,960834;0,000109437
455;5,912064;0,000122444
456;5,884761;0,000130388
457;5,930826;0,000117267
458;5,920019;0,000120221
459;6,045277;9,00996E-05
460;6,148475;7,10436E-05
461;6,017583;9,60322E-05
462;6,01779;9,59865E-05
463;6,041223;9,09446E-05
464;6,086598;8,19223E-05
465;5,996172;0,000100885
466;6,056272;8,78472E-05
467;5,959493;0,000109776
468;6,018659;9,57946E-05
469;6,032576;9,27735E-05
470;6,098047;7,97908E-05
471;6,001282;9,97052E-05
472;6,09823;7,97572E-05
473;6,061871;8,67219E-05
474;5,897638;0,000126579
475;6,077119;8,373E-05
476;6,010222;9,76738E-05
477;6,042421;9,06941E-05
478;6,032958;9,26919E-05
479;5,933269;0,000116609
480;6,072646096;8,45968E-05
481;6,002799459;9,93575E-05
482;5,931715914;0,000117026
483;5,9983031;0,000100391
484;5,9231171;0,000119367
485;5,857198554;0,000138932
486;5,782997827;0,000164817
487;5,848867516;0,000141623
488;5,773235971;0,000168564
489;5,712356607;0,000193929
490;5,778650223;0,000166475
491;5,614373855;0,000243011
492;5,602989309;0,000249466
493;5,691549747;0,000203447
494;5,547149107;0,000283694
495;5,609674272;0,000245655
496;5,601527636;0,000250307
497;5,651263028;0,000223222
498;5,497388429;0,000318135
499;5,510231591;0,000308865
500;5,500809301;0,000315639
501;5,346125072;0,000450687
502;5,305396505;0,000494998
503;5,223047553;0,000598346
504;5,347333777;0,000449434
505;5,098433806;0,000797198
506;4,815134258;0,001530614
507;4,610086516;0,00245422
508;4,277737522;0,005275486
509;3,680174661;0,02088456
510;3,095074628;0,080338806
510,1000061;3,033670839;0,092539929
510,2000122;2,97995623;0,104723409
510,2999878;2,915023871;0,121611916
510,3999939;2,811206475;0,154451996
510,5;2,759018988;0,174173072
510,6000061;2,684845981;0,206611276
510,7000122;2,589791234;0,257163167
510,7999878;2,530730955;0,294624627
510,8999939;2,441236242;0,362046003
511;2,364879726;0,431638598
511,1000061;2,265034936;0,543206632
511,2000122;2,174921935;0,668464065
511,2999878;2,080605225;0,830605447
511,3999939;1,990775114;1,021468282
511,5;1,879225129;1,320610881
511,6000061;1,772459095;1,6886549
511,7000122;1,660353231;2,185982943
511,7999878;1,547712391;2,833267689
511,8999939;1,421429046;3,789404392
512;1,295865409;5,059814453
512,0999756;1,163924633;6,856071949
512,2000122;1,04093069;9,100584984
512,2999878;0,908721488;12,33895874
512,4000244;0,76536973;17,16446495
512,5;0,627169218;23,59558678
512,5999756;0,48944822;32,40050507
512,7000122;0,3705896;42,60007858
512,7999878;0,249277558;56,32775497
512,9000244;0,158314267;69,45215607
513;0,087941592;81,66921997
513,0999756;0,049766491;89,17302704
513,2000122;0,027356914;93,89513397
513,2999878;0,02079386;95,32485199
513,4000244;0,02248505;94,95436859
513,5;0,02616077;94,15409851
513,5999756;0,029092435;93,5206604
513,7000122;0,030889988;93,13437653
513,7999878;0,031208836;93,06602478
513,9000244;0,028370731;93,67620087
514;0,025497534;94,29799652
514,0999756;0,020690812;95,34747314
514,2000122;0,01725969;96,10374451
514,2999878;0,014363787;96,74671173
514,4000244;0,013300996;96,98375702
514,5;0,012514626;97,15952301
514,5999756;0,01386925;96,85694122
514,7000122;0,013840002;96,86346436
514,7999878;0,015503144;96,49323273
514,9000244;0,01525821;96,54766846
515;0,015299978;96,53838348
515,0999756;0,015044044;96,59529114
515,2000122;0,018892709;95,74305725
515,2999878;0,02723254;93,92202759
515,4000244;0,048219949;89,49114227
515,5;0,085552739;82,11968231
515,5999756;0,146525607;71,36321259
515,7000122;0,22207097;59,96930695
515,7999878;0,332352953;46,52078629
515,9000244;0,453973046;35,15822601
516;0,590496336;25,67459869
516,0999756;0,715088658;19,27131462
516,2000122;0,852624427;14,04027367
516,2999878;0,988480556;10,26879406
516,4000244;1,120536843;7,576404572
516,5;1,248996707;5,636419296
516,5999756;1,363255551;4,332558632
516,7000122;1,487266818;3,256365776
516,7999878;1,597534514;2,526186943
516,9000244;1,711636149;1,942512631
517;1,813254914;1,537252069
517,0999756;1,920092725;1,202007771
517,2000122;2,008473531;0,980678081
517,2999878;2,113980565;0,76916486
517,4000244;2,198202974;0,633573532
517,5;2,270328931;0,536625207
517,5999756;2,36826532;0,428286791
517,7000122;2,443907317;0,359826118
517,7999878;2,526736121;0,297347218
517,9000244;2,581728804;0,261981845
518;2,686812315;0,205677927
518,0999756;2,739317211;0,182256401
518,2000122;2,797086815;0,159556016
518,2999878;2,885255088;0,130240157
518,4000244;2,935860526;0,115914956
518,5;3,024579844;0,094497465
518,5999756;3,083762942;0,082458809
518,7000122;3,135876351;0,073134728
518,7999878;3,180987054;0,065919355
518,9000244;3,246713748;0,056661263
519;3,280447266;0,052426726
520;3,824886993;0,01496625
521;4,115240222;0,007669372
522;4,663828521;0,00216856
523;4,965229703;0,001083354
524;5,227930537;0,000591656
525;5,459331177;0,000347271
526;5,33466055;0,000462743
527;5,537908037;0,000289796
528;5,712100208;0,000194044
529;5,609641366;0,000245674
530;5,579485568;0,000263339
531;5,704374544;0,000197527
532;5,665273651;0,000216136
533;5,607420517;0,000246933
534;5,691304713;0,000203561
535;5,603946653;0,000248916
536;5,606656765;0,000247368
537;5,664463776;0,000216539
538;5,667566887;0,000214997
539;5,693616665;0,000202481
540;5,656841236;0,000220373
541;5,736516808;0,000183435
542;5,62710465;0,000235991
543;5,717694221;0,00019156
544;5,814826793;0,00015317
545;5,854594;0,000139767
546;5,842634;0,00014367
547;5,873566;0,000133793
548;5,965764;0,000108202
549;5,931728;0,000117023
550;5,990332;0,000102251
551;6,020621;9,53628E-05
552;5,986257;0,000103215
553;5,990482;0,000102216
554;5,990571;0,000102195
555;5,958433;0,000110044
556;5,994906;0,00010118
557;5,986541;0,000103148
558;6,01219;9,72322E-05
559;5,966596;0,000107995
560;5,976941;0,000105453
561;5,983415833;0,000103892
562;5,983348;0,000103909
563;5,990155;0,000102293
564;6,0144125;9,67359E-05
565;6,030305167;9,32599E-05
566;6,026938;9,39857E-05
567;6,024008167;9,46219E-05
568;6,030971667;9,31169E-05
569;6,032502333;9,27893E-05
570;6,004436833;9,89836E-05
571;5,981667333;0,000104312
572;5,9891105;0,000102539
573;5,993616667;0,000101481
574;5,994468667;0,000101282
575;5,996759167;0,000100749
576;5,997453333;0,000100588
577;6,009789833;9,7771E-05
578;6,015782;9,64313E-05
579;6,017413333;9,60698E-05
580;6,013523;9,69342E-05
581;6,008431833;9,80772E-05
582;6,0103565;9,76435E-05
583;5,995258167;0,000101098
584;5,975871667;0,000105713
585;5,968500167;0,000107523
586;5,965564833;0,000108252
587;5,965668;0,000108226
588;5,9789785;0,000104959
589;5,9928315;0,000101664
590;5,997156167;0,000100657
591;5,991093333;0,000102072
592;5,976503667;0,000105559
593;5,9666455;0,000107983
594;5,959472667;0,000109781
595;5,9616645;0,000109228
596;5,964938833;0,000108408
597;5,968344167;0,000107561
598;5,9788085;0,000105001
599;5,9846975;0,000103586
600;5,978791833;0,000105005
601;5,974028167;0,000106163
602;5,971512333;0,000106779
603;5,960790333;0,000109448
604;5,962193667;0,000109095
605;5,973832167;0,000106211
606;5,975816;0,000105727
607;5,970714333;0,000106976
608;5,971997833;0,00010666
609;5,980772833;0,000104527
610;5,983734833;0,000103816
611;5,981443667;0,000104365
612;5,987580667;0,000102901
613;5,9908105;0,000102139
614;5,992172;0,000101819
615;5,999200667;0,000100184
616;5,9970635;0,000100678
617;5,997847;0,000100497
618;6,0030335;9,93039E-05
619;6,0037135;9,91486E-05
620;6,000527833;9,98785E-05
621;5,996969333;0,0001007
622;5,9991885;0,000100187
623;6,001594;9,96336E-05
624;6,014053667;9,68158E-05
625;6,037824167;9,16592E-05
626;6,047894667;8,95582E-05
627;6,046592667;8,98271E-05
628;6,041613833;9,08628E-05
629;6,024690833;9,44733E-05
630;5,992418667;0,000101761
631;5,9636535;0,000108729
632;5,948846167;0,0001125
633;5,931892667;0,000116979
634;5,916493833;0,000121201
635;5,9093535;0,00012321
636;5,913575333;0,000122018
637;5,916763333;0,000121126
638;5,920418333;0,000120111
639;5,922073833;0,000119654
640;5,9209885;0,000119953
641;5,926339333;0,000118484
642;5,928249;0,000117964
643;5,926987667;0,000118308
644;5,927593167;0,000118143
645;5,932202167;0,000116896
646;5,937921833;0,000115366
647;5,939171833;0,000115035
648;5,93613;0,000115843
649;5,9215315;0,000119803
650;5,903604;0,000124852
651;5,892213833;0,00012817
652;5,883357333;0,000130811
653;5,875170833;0,0001333
654;5,868876;0,000135246
655;5,875884;0,000133081
656;5,886836;0,000129767
657;5,889994;0,000128827
658;5,890552167;0,000128661
659;5,8958005;0,000127116
660;5,912553167;0,000122306
661;5,916619333;0,000121166
662;5,921301667;0,000119867
663;5,933904;0,000116438
664;5,945343;0,000113411
665;5,950332667;0,000112116
666;5,946297333;0,000113163
667;5,955795;0,000110715
668;5,968897;0,000107424
669;5,9889125;0,000102586
670;5,992143667;0,000101825
671;5,986061833;0,000103261
672;5,9804;0,000104616
673;5,9765385;0,000105551
674;5,968476667;0,000107528
675;5,952401167;0,000111583
676;5,956418;0,000110556
677;5,962579667;0,000108998
678;5,962049333;0,000109132
679;5,956527167;0,000110528
680;5,9481275;0,000112687
681;5,940073667;0,000114796
682;5,93361;0,000116517
683;5,925168667;0,000118804
684;5,918845667;0,000120546
685;5,903482333;0,000124887
686;5,8806995;0,000131614
687;5,8552345;0,000139561
688;5,827622167;0,000148723
689;5,805751833;0,000156404
690;5,788207333;0,000162852
691;5,774339;0,000168136
692;5,767999833;0,000170608
693;5,757261;0,00017488
694;5,742670667;0,000180855
695;5,744815667;0,000179963
696;5,756615333;0,00017514
697;5,7770565;0,000167087
698;5,804020333;0,000157029
699;5,837473333;0,000145387
700;5,8817065;0,000131309
701;5,9100375;0,000123016
702;5,928540833;0,000117885
703;5,941174167;0,000114505
704;5,9506645;0,00011203
705;5,959726333;0,000109717
706;5,956015;0,000110659
707;5,946479833;0,000113115
708;5,932207667;0,000116894
709;5,922914667;0,000119422
710;5,9087215;0,00012339
711;5,900294;0,000125807
712;5,893958;0,000127656
713;5,8913105;0,000128437
714;5,897013333;0,000126761
715;5,906383;0,000124056
716;5,9164395;0,000121216
717;5,917112667;0,000121028
718;5,9154925;0,000121481
719;5,919946667;0,000120241
720;5,917697;0,000120866
721;5,911796;0,000122519
722;5,9118405;0,000122507
723;5,9153765;0,000121513
724;5,924697167;0,000118933
725;5,9408025;0,000114603
726;5,950575167;0,000112053
727;5,952351;0,000111596
728;5,951794;0,000111739
729;5,941789167;0,000114343
730;5,928355;0,000117936
731;5,913522167;0,000122033
732;5,90675;0,000123951
733;5,900642167;0,000125707
734;5,906218667;0,000124103
735;5,926743833;0,000118374
736;5,948871;0,000112494
737;5,956991167;0,00011041
738;5,967849833;0,000107684
739;5,979594833;0,000104811
740;5,991344667;0,000102013
741;5,9921075;0,000101834
742;5,992189667;0,000101815
743;5,9998385;0,000100037
744;5,9972365;0,000100638
745;6,003243833;9,92559E-05
746;5,992283833;0,000101793
747;5,977779833;0,00010525
748;5,964522333;0,000108512
749;5,948401833;0,000112615
750;5,945276;0,000113429
751;5,935120333;0,000116113
752;5,927292333;0,000118225
753;5,932080333;0,000116928
754;5,933912167;0,000116436
755;5,927887333;0,000118063
756;5,8765155;0,000132888
757;5,821766167;0,000150742
758;5,791762;0,000161524
759;5,7789725;0,000166352
760;5,8011095;0,000158085
761;5,822713667;0,000150413
762;5,875461833;0,00013321
763;5,929166;0,000117716
764;5,976787333;0,00010549
765;5,990981833;0,000102098
766;5,971399;0,000106807
767;5,960795833;0,000109447
768;5,9609;0,000109421
769;5,971713833;0,00010673
770;5,957213167;0,000110354
771;5,941632167;0,000114385
772;5,930392333;0,000117384
773;5,920161667;0,000120182
774;5,9084275;0,000123473
775;5,90648;0,000124028
776;5,911558333;0,000122586
777;5,926069333;0,000118558
778;5,932752333;0,000116748
779;5,917850167;0,000120823
780;5,889838333;0,000128873
781;5,856921;0,000139021
782;5,830033833;0,000147899
783;5,815179333;0,000153046
784;5,8151905;0,000153042
785;5,836316;0,000145775
786;5,872488;0,000134126
787;5,897380833;0,000126654
788;5,925641167;0,000118675
789;5,941207;0,000114497
790;5,939039333;0,00011507
791;5,939184;0,000115031
792;5,940498333;0,000114684
793;5,9120165;0,000122457
794;5,856614;0,000139119
795;5,808421333;0,000155446
796;5,761151167;0,00017332
797;5,724446;0,000188605
798;5,700492833;0,0001993
799;5,724521167;0,000188573
800;5,7709185;0,000169466
801;5,8168385;0,000152462
802;5,863104667;0,000137055
803;5,9022355;0,000125246
804;5,926926667;0,000118324
805;5,923215667;0,00011934
806;5,9226835;0,000119486
807;5,893137;0,000127898
808;5,883409833;0,000130795
809;5,876019333;0,00013304
810;5,862420333;0,000137271
811;5,872636;0,00013408
812;5,873271167;0,000133884
813;5,923444167;0,000119277
814;5,956206333;0,00011061
815;5,946015167;0,000113236
816;5,948040333;0,000112709
817;5,9562935;0,000110588
818;5,942524667;0,00011415
819;5,913861833;0,000121938
820;5,898198667;0,000126416
821;5,908236;0,000123528
