Wavelength (nm);% Transmission
200;0
201;0
202;0
203;0
204;0
205;0
206;0
207;0
208;0
209;0
210;0
211;0
212;0
213;0
214;0
215;0
216;0
217;0
218;0
219;0
220;0
221;0
222;0
223;0
224;0
225;0
226;0
227;0
228;0
229;0
230;0
231;0
232;0
233;0
234;0
235;0
236;0
237;0
238;0
239;0
240;0
241;0
242;0
243;0.00004
244;0.00008
245;0.0001
246;0.00021
247;0.00035
248;0.00021
249;0.00012
250;0.00009
251;0.00003
252;0.00001
253;0.00001
254;0
255;0
256;0
257;0
258;0
259;0
260;0
261;0
262;0
263;0
264;0
265;0
266;0
267;0
268;0
269;0
270;0
271;0
272;0
273;0
274;0
275;0
276;0
277;0
278;0
279;0
280;0
281;0
282;0
283;0
284;0
285;0
286;0
287;0.00003
288;0.00071
289;0.0045
290;0.01422
291;0.00273
292;0.00079
293;0.00102
294;0.0008
295;0.00242
296;0.00133
297;0.00199
298;0.00065
299;0.00011
300;0.00006
301;0.00005
302;0.00001
303;0.00002
304;0.00004
305;0.00001
306;0
307;0
308;0
309;0.00002
310;0.00001
311;0
312;0
313;0
314;0
315;0
316;0
317;0
318;0
319;0
320;0
321;0
322;0
323;0
324;0
325;0
326;0
327;0
328;0
329;0
330;0
331;0
332;0.00002
333;0.00011
334;0.0002
335;0.00002
336;0.00001
337;0.00001
338;0.00001
339;0.00001
340;0
341;0
342;0
343;0
344;0
345;0
346;0
347;0
348;0
349;0
350;0
351;0
352;0
353;0
354;0
355;0
356;0
357;0
358;0
359;0
360;0
361;0
362;0
363;0
364;0
365;0
366;0
367;0
368;0.00003
369;0.00005
370;0.00043
371;0.00044
372;0.00076
373;0.00018
374;0.00011
375;0.00135
376;0.01256
377;0.00324
378;0.00165
379;0.00412
380;0.00681
381;0.00706
382;0.00371
383;0.01521
384;0.00179
385;0.00026
386;0.00013
387;0.00015
388;0.00015
389;0.00009
390;0.00012
391;0.00036
392;0.00046
393;0.00026
394;0.00024
395;0.00025
396;0.00027
397;0.00023
398;0.00016
399;0.00013
400;0.00017
401;0.00037
402;0.00029
403;0.00013
404;0.00012
405;0.0002
406;0.00046
407;0.00036
408;0.00023
409;0.00025
410;0.00036
411;0.00042
412;0.00043
413;0.00052
414;0.00073
415;0.00095
416;0.00116
417;0.00159
418;0.00257
419;0.00444
420;0.00704
421;0.01043
422;0.01612
423;0.02684
424;0.04772
425;0.09269
426;0.20788
427;0.54654
428;1.66484
429;5.83381
430;26.52832
431;89.09211
432;93.6359
433;96.00675
434;97.64875
435;97.99085
436;97.4505
437;97.1656
438;95.42609
439;93.92207
440;93.89927
441;92.0549
442;41.1193
443;11.26794
444;3.55529
445;1.06289
446;0.34455
447;0.14582
448;0.07854
449;0.04638
450;0.0272
451;0.01718
452;0.01287
453;0.01055
454;0.0074
455;0.00446
456;0.00298
457;0.00239
458;0.00195
459;0.00131
460;0.00081
461;0.00058
462;0.00049
463;0.00046
464;0.00041
465;0.00036
466;0.00035
467;0.00043
468;0.00058
469;0.00053
470;0.00035
471;0.00027
472;0.00025
473;0.0002
474;0.00014
475;0.00011
476;0.0001
477;0.00011
478;0.00016
479;0.00023
