Wavelength (nm);P-Polarized;S-Polarized;;;
436;40,94369125;41,94457245;;;
437;40,89986038;42,01944733;;;
438;40,83837891;42,07774734;;;
439;40,76882935;42,03638077;;;
440;40,73656845;42,04450607;;;
441;40,67153931;41,93848419;;;
442;40,61867523;41,88898849;;;
443;40,5618782;41,89053345;;;
444;40,510849;41,90975189;;;
445;40,45249557;41,97980499;;;
446;40,41322708;42,08684921;;;
447;40,35334396;42,14066315;;;
448;40,2928772;42,17581177;;;
449;40,25009918;42,11742401;;;
450;40,19967651;42,0572052;;;
451;40,13500595;41,97872162;;;
452;40,08127975;42,00672531;;;
453;40,05107498;42,00574493;;;
454;39,99824524;42,0932312;;;
455;39,95825195;42,21414948;;;
456;39,89980316;42,28548431;;;
457;39,8639946;42,35403824;;;
458;39,82211685;42,33917618;;;
459;39,7758522;42,30197906;;;
460;39,73400879;42,26499939;;;
461;39,68540955;42,2437973;;;
462;39,66580582;42,24583054;;;
463;39,62276077;42,30269241;;;
464;39,59095764;42,3939476;;;
465;39,55768967;42,52318192;;;
466;39,52984238;42,60135269;;;
467;39,48816681;42,655056;;;
468;39,46798706;42,69332886;;;
469;39,43065262;42,68409348;;;
470;39,41374588;42,66111755;;;
471;39,37202835;42,61250687;;;
472;39,37152863;42,64963913;;;
473;39,34899902;42,70655823;;;
474;39,33802795;42,83672333;;;
475;39,31882095;42,93817139;;;
476;39,31440735;43,04382706;;;
477;39,28648376;43,12333298;;;
478;39,28124619;43,17905045;;;
479;39,26171494;43,19832993;;;
480;39,25675201;43,19891357;;;
481;39,25161362;43,18400574;;;
482;39,25394058;43,21041107;;;
483;39,25157166;43,22140884;;;
484;39,25000381;43,31700516;;;
485;39,25011063;43,4469223;;;
486;39,25429535;43,56610489;;;
487;39,26527405;43,67218399;;;
488;39,25606918;43,77015686;;;
489;39,25127029;43,82391357;;;
490;39,25973892;43,83401489;;;
491;39,27227783;43,84791565;;;
492;39,27595901;43,8661232;;;
493;39,27878571;43,87970352;;;
494;39,29919052;43,94550705;;;
495;39,30739212;44,01912689;;;
496;39,31924438;44,09526443;;;
497;39,33413696;44,22570801;;;
498;39,34331131;44,31818771;;;
499;39,34022141;44,41024399;;;
500;39,36060333;44,47895813;;;
501;39,3598175;44,50341797;;;
502;39,37133026;44,51365662;;;
503;39,38977814;44,54999924;;;
504;39,39936447;44,57354736;;;
505;39,40895844;44,5910759;;;
506;39,42800522;44,66052628;;;
507;39,45649338;44,72022247;;;
508;39,46524048;44,78832626;;;
509;39,48221207;44,89665985;;;
510;39,48883438;44,96675491;;;
511;39,49927521;45,01755142;;;
512;39,50657272;45,0615921;;;
513;39,50926971;45,09595108;;;
514;39,52725601;45,12601471;;;
515;39,5334816;45,14345932;;;
516;39,54602432;45,14652252;;;
517;39,55963135;45,19026947;;;
518;39,58082581;45,19548035;;;
519;39,59823227;45,25249481;;;
520;39,61023712;45,30882263;;;
521;39,63046646;45,35630035;;;
522;39,6342926;45,41119385;;;
523;39,6421051;45,44295502;;;
524;39,64040756;45,4684906;;;
525;39,64782715;45,49944687;;;
526;39,65856171;45,52736282;;;
527;39,664505;45,52217865;;;
528;39,67217255;45,53423309;;;
529;39,68319321;45,56698608;;;
530;39,70188522;45,58467865;;;
531;39,70895767;45,59970856;;;
532;39,73432541;45,64705276;;;
533;39,76343918;45,66835022;;;
534;39,75794983;45,68114853;;;
535;39,75933456;45,69055939;;;
536;39,76112366;45,71369171;;;
537;39,76576996;45,73425293;;;
538;39,76223755;45,73472595;;;
539;39,77205276;45,73097229;;;
540;39,78206635;45,75019836;;;
541;39,77842712;45,75736237;;;
542;39,78989029;45,7591362;;;
543;39,79857635;45,79139709;;;
544;39,81746674;45,80092621;;;
545;39,84323502;45,81590652;;;
546;39,847229;45,84246826;;;
547;39,86308289;45,84272385;;;
548;39,87101364;45,81788635;;;
549;39,87952805;45,82795334;;;
550;39,89134216;45,81308746;;;
551;39,88962936;45,7999649;;;
552;39,89979172;45,78963852;;;
553;39,91228485;45,80120468;;;
554;39,91321564;45,7917099;;;
555;39,92653656;45,82555771;;;
556;39,94735336;45,85085297;;;
557;39,95730591;45,88486862;;;
558;39,98736191;45,90694046;;;
559;40,00723267;45,91747284;;;
560;40,01603317;45,93096542;;;
561;40,04111862;45,90892029;;;
562;40,05559158;45,88663101;;;
563;40,07384109;45,87474823;;;
564;40,08749008;45,83252335;;;
565;40,08857346;45,79805756;;;
566;40,10638428;45,78899765;;;
567;40,12215805;45,78604889;;;
568;40,13186264;45,78400803;;;
569;40,1518631;45,80908966;;;
570;40,18045044;45,83204651;;;
571;40,20159912;45,87646484;;;
572;40,23579025;45,92589951;;;
573;40,25514984;45,9420929;;;
574;40,28976059;45,97618866;;;
575;40,32188416;45,99479294;;;
576;40,34058762;45,98546982;;;
577;40,36644745;45,95455933;;;
578;40,39184952;45,92476654;;;
579;40,41627121;45,88835907;;;
580;40,43643951;45,83895493;;;
581;40,45404053;45,79505157;;;
582;40,48101425;45,7834549;;;
583;40,49474335;45,77564621;;;
584;40,52759171;45,7924614;;;
585;40,55765152;45,8300972;;;
586;40,58494568;45,88815689;;;
587;40,61983871;45,94661331;;;
588;40,66135788;45,99618912;;;
589;40,69939041;46,04616928;;;
590;40,73907471;46,08818436;;;
591;40,7745018;46,1158638;;;
592;40,81169128;46,09468079;;;
593;40,84526062;46,07317352;;;
594;40,87687683;46,02914047;;;
595;40,90707779;45,97087479;;;
596;40,9395256;45,92315292;;;
597;40,96648788;45,88424301;;;
598;40,99495697;45,84455872;;;
599;41,02365112;45,82687759;;;
600;41,05844498;45,83712006;;;
601;41,09844971;45,88990402;;;
602;41,13055801;45,94098663;;;
603;41,1777153;46,01509094;;;
604;41,21779251;46,0805397;;;
605;41,25812531;46,16792297;;;
606;41,30160522;46,23976517;;;
607;41,34632492;46,27662659;;;
608;41,38981247;46,28710175;;;
609;41,43144608;46,29992676;;;
610;41,47255325;46,25808334;;;
611;41,51366043;46,21718597;;;
612;41,5513382;46,17112732;;;
613;41,58678436;46,11510086;;;
614;41,62162018;46,04595947;;;
615;41,66424561;46,02505112;;;
616;41,69612122;46,00289536;;;
617;41,74279022;46,00336075;;;
618;41,78510666;46,03383255;;;
619;41,82792664;46,07791901;;;
620;41,87586212;46,16783905;;;
621;41,92987442;46,25108337;;;
622;41,97410965;46,34752655;;;
623;42,02381516;46,42059326;;;
624;42,07442093;46,51065063;;;
625;42,12636185;46,56541061;;;
626;42,17263031;46,57740021;;;
627;42,22371292;46,61415482;;;
628;42,26953506;46,60478592;;;
629;42,31038284;46,53717422;;;
630;42,35942078;46,48790359;;;
631;42,40245438;46,42237854;;;
632;42,44360352;46,35753632;;;
633;42,48882675;46,31098175;;;
634;42,52616119;46,27911758;;;
635;42,56574631;46,28972626;;;
636;42,61712646;46,29001999;;;
637;42,66601181;46,36065292;;;
638;42,71438599;46,42764282;;;
639;42,76732635;46,51663208;;;
640;42,82384872;46,63458633;;;
641;42,87688828;46,73934555;;;
642;42,93025208;46,84376907;;;
643;42,99025345;46,94178772;;;
644;43,04302216;47,00988007;;;
645;43,09431076;47,0724678;;;
646;43,14731598;47,07198715;;;
647;43,20355988;47,07020569;;;
648;43,25623322;47,04890823;;;
649;43,30309677;46,98012543;;;
650;43,35512161;46,92927933;;;
651;43,40164566;46,87693787;;;
652;43,44842911;46,81666565;;;
653;43,49637222;46,79545975;;;
654;43,54662704;46,78611374;;;
655;43,59658432;46,78232956;;;
656;43,6493187;46,83326721;;;
657;43,70561218;46,87753296;;;
658;43,75775528;46,98563766;;;
659;43,81686783;47,10227966;;;
660;43,87942505;47,20946884;;;
661;43,93909454;47,34126663;;;
662;44,00218201;47,46062469;;;
663;44,06084442;47,5849762;;;
664;44,11872101;47,67121887;;;
665;44,18195343;47,7273941;;;
666;44,24256516;47,79870605;;;
667;44,29816818;47,79563141;;;
668;44,35876083;47,80686951;;;
669;44,4169426;47,76248169;;;
670;44,47723389;47,74142838;;;
671;44,52419662;47,69381332;;;
672;44,58164597;47,64519501;;;
673;44,63990402;47,60223389;;;
674;44,69018555;47,60174179;;;
675;44,75268936;47,58470535;;;
676;44,81698227;47,60697556;;;
677;44,8699913;47,68672943;;;
678;44,93074036;47,72915268;;;
679;44,98983383;47,84892273;;;
680;45,05593491;47,97729492;;;
681;45,11975479;48,09107208;;;
682;45,18385315;48,23913193;;;
683;45,24087906;48,37434006;;;
684;45,30671692;48,52214813;;;
685;45,37675476;48,6386795;;;
686;45,44423294;48,73670197;;;
687;45,5032196;48,81542206;;;
688;45,57146454;48,86342239;;;
689;45,63452911;48,91431808;;;
690;45,69608688;48,9155426;;;
691;45,757267;48,89642715;;;
692;45,82029724;48,86646271;;;
693;45,88426971;48,85539627;;;
694;45,94048309;48,79461288;;;
695;46,00097275;48,79672241;;;
696;46,0604248;48,79265976;;;
697;46,12475967;48,78966141;;;
698;46,18244171;48,83259201;;;
699;46,24490738;48,8884697;;;
700;46,31082153;48,96546173;;;
701;46,37506866;49,05217361;;;
702;46,44483948;49,1756134;;;
703;46,51471329;49,33539963;;;
704;46,58231354;49,45677185;;;
705;46,64847565;49,63187408;;;
706;46,72402191;49,79415512;;;
707;46,7899704;49,92432404;;;
708;46,864048;50,05575562;;;
709;46,93014526;50,19019318;;;
710;46,99659729;50,28538895;;;
711;47,06109238;50,33549118;;;
712;47,12867737;50,40946198;;;
713;47,19992447;50,45392227;;;
714;47,26102066;50,46342087;;;
715;47,32143784;50,45949554;;;
716;47,38594818;50,41864014;;;
717;47,45005417;50,41757584;;;
718;47,5151062;50,42867279;;;
719;47,58300781;50,41754913;;;
720;47,6451416;50,40124893;;;
721;47,7233696;50,42717361;;;
722;47,76052856;50,4628334;;;
723;47,81637192;50,52513123;;;
724;47,89853287;50,60974503;;;
725;47,97151566;50,71447754;;;
726;48,03067398;50,83535385;;;
727;48,12180328;50,97782898;;;
728;48,17615128;51,12874603;;;
729;48,2521019;51,27826309;;;
730;48,33745575;51,44630051;;;
731;48,36930847;51,6143837;;;
732;48,42608643;51,74795532;;;
733;48,50862122;51,89113998;;;
734;48,59235001;52,00860214;;;
735;48,64047623;52,11815262;;;
736;48,69266891;52,19949722;;;
737;48,78931427;52,26958466;;;
738;48,82017517;52,30897903;;;
739;48,88660049;52,33546829;;;
740;48,94311142;52,34825897;;;
741;49,00057602;52,35279465;;;
742;49,08720016;52,34974289;;;
743;49,13316727;52,34816742;;;
744;49,15599823;52,35432434;;;
745;49,23387527;52,36708832;;;
746;49,28029633;52,38103485;;;
747;49,35655975;52,40802765;;;
748;49,41041946;52,4595871;;;
749;49,45041275;52,52696609;;;
750;49,51541519;52,61618805;;;
751;49,5825119;52,71727753;;;
752;49,62112045;52,838871;;;
753;49,68463898;52,98276138;;;
754;49,75091171;53,12300491;;;
755;49,79767227;53,27175522;;;
756;49,85477066;53,42472458;;;
757;49,90854645;53,5714035;;;
758;49,9571991;53,71256638;;;
759;50,01888657;53,85283279;;;
760;50,07964706;53,9777832;;;
761;50,11123276;54,07196045;;;
762;50,15467834;54,16881561;;;
763;50,21459198;54,24198532;;;
764;50,24889374;54,29508972;;;
765;50,28291702;54,33398056;;;
766;50,33784485;54,36176682;;;
767;50,37116241;54,3641243;;;
768;50,41841507;54,37135315;;;
769;50,4612999;54,35892487;;;
770;50,48236847;54,34739685;;;
771;50,50760269;54,34056091;;;
772;50,56156158;54,33616638;;;
773;50,59230804;54,34410095;;;
774;50,64011765;54,35302353;;;
775;50,67341995;54,37918472;;;
776;50,70881653;54,41900253;;;
777;50,71903992;54,468647;;;
778;50,76830673;54,54861832;;;
779;50,79124451;54,63061523;;;
780;50,82561874;54,7268219;;;
781;50,85747147;54,83296585;;;
782;50,88070679;54,94628143;;;
783;50,90799713;55,06433868;;;
784;50,92850876;55,18740463;;;
785;50,97342682;55,30770111;;;
786;50,99132156;55,41640854;;;
787;51,01086426;55,52671051;;;
788;51,03155136;55,62322998;;;
789;51,05456924;55,71251678;;;
790;51,08882523;55,78328705;;;
791;51,09996796;55,83493423;;;
792;51,0994072;55,87966156;;;
793;51,12359238;55,91387939;;;
794;51,14050293;55,91633987;;;
795;51,14785385;55,913414;;;
796;51,15541077;55,89781189;;;
797;51,18715668;55,89144897;;;
798;51,1729126;55,8584404;;;
799;51,16950226;55,82884216;;;
800;51,16246796;55,78738022;;;
801;51,15942001;55,75394821;;;
802;51,092556;55,72782516;;;
803;51,15709305;55,7075119;;;
804;51,15253067;55,69112015;;;
805;51,16561127;55,69129944;;;
806;51,15410995;55,69804382;;;
807;51,14960098;55,71270752;;;
808;51,15966415;55,74100113;;;
809;51,13100433;55,78024673;;;
810;51,1438942;55,82249451;;;
811;51,11330032;55,88661194;;;
812;51,11766434;55,94156647;;;
813;51,09193039;56,01200485;;;
814;51,0778389;56,08217239;;;
815;51,0765419;56,15712738;;;
816;51,06802368;56,22092819;;;
817;51,03675842;56,28067398;;;
818;51,02119827;56,33030701;;;
819;51,00906372;56,37546539;;;
820;50,98545074;56,40818787;;;
821;50,95345306;56,42921066;;;
822;50,93458939;56,43528366;;;
823;50,90527725;56,43723297;;;
824;50,88542938;56,42234802;;;
825;50,84267807;56,39733887;;;
826;50,83362579;56,36541367;;;
827;50,78382874;56,31507111;;;
828;50,75003052;56,26528549;;;
829;50,72063828;56,19691849;;;
830;50,68284607;56,13763046;;;
831;50,63697433;56,07142639;;;
832;50,57145691;55,99631119;;;
833;50,5222702;55,93493652;;;
834;50,497509;55,86756134;;;
835;50,46251297;55,80757904;;;
836;50,42195511;55,74827957;;;
837;50,36183929;55,70468903;;;
838;50,33106232;55,66733551;;;
839;50,2819252;55,63005829;;;
840;50,24728775;55,60817337;;;
841;50,1935997;55,58618546;;;
842;50,14049911;55,57775116;;;
843;50,09473038;55,56873322;;;
844;50,03704453;55,5703125;;;
845;49,990448;55,57806015;;;
846;49,93868256;55,57664871;;;
847;49,88214111;55,5823288;;;
848;49,82673645;55,59294891;;;
849;49,7926712;55,59062958;;;
850;49,73038101;55,59050751;;;
851;49,6716156;55,58367538;;;
852;49,61087418;55,57429504;;;
853;49,54964447;55,55572128;;;
854;49,48790741;55,52690887;;;
855;49,42131805;55,49528885;;;
856;49,36282349;55,45371246;;;
857;49,29923248;55,40143967;;;
858;49,24430847;55,35033417;;;
859;49,17940521;55,27359009;;;
860;49,09883499;55,20654678;;;
861;49,02394104;55,12530518;;;
862;48,94281006;55,04502106;;;
863;48,88853073;54,94777298;;;
864;48,82208252;54,86408615;;;
865;48,74803162;54,76751709;;;
866;48,66093445;54,66836929;;;
867;48,59571457;54,56424713;;;
868;48,52344513;54,4644928;;;
869;48,45167923;54,37239075;;;
870;48,3715744;54,28826904;;;
871;48,30644608;54,20158005;;;
872;48,23227692;54,10777664;;;
873;48,15171814;54,04016495;;;
874;48,08163452;53,97262192;;;
875;48,01700592;53,90964508;;;
876;47,94958878;53,84794235;;;
877;47,86059189;53,78755951;;;
878;47,78970337;53,73051453;;;
879;47,70823669;53,68541718;;;
880;47,63196182;53,64238739;;;
881;47,55753708;53,6023941;;;
882;47,47256088;53,55396271;;;
883;47,40229416;53,52188492;;;
884;47,32741165;53,47262192;;;
885;47,24916077;53,42904663;;;
886;47,17161179;53,38690948;;;
887;47,08944702;53,34144974;;;
888;47,00996017;53,28663254;;;
889;46,93989563;53,23149872;;;
890;46,85912704;53,17775726;;;
891;46,77430725;53,10657883;;;
892;46,69656754;53,04028702;;;
893;46,62017822;52,9682312;;;
894;46,53319168;52,89073944;;;
895;46,45112991;52,81244278;;;
896;46,36824799;52,72864914;;;
897;46,2821846;52,63593292;;;
898;46,19693756;52,53764725;;;
899;46,10843658;52,43729019;;;
900;46,03001785;52,33781052;;;
901;45,93582153;52,23493958;;;
902;45,86520386;52,13437271;;;
903;45,77646637;52,02169037;;;
904;45,68275833;51,9097023;;;
905;45,60171127;51,81311798;;;
906;45,51340485;51,70568085;;;
907;45,42861938;51,60629272;;;
908;45,34654617;51,50793076;;;
