Wavelength (nm);P-Polarized;S-Polarized;;;
250;1,167816818;1,025642224;;;
251;1,128765836;1,232294992;;;
252;1,126643971;1,088610917;;;
253;1,095469892;1,05212988;;;
254;1,031086832;1,171047002;;;
255;1,294952601;1,166504592;;;
256;1,133355379;1,171902105;;;
257;1,056827422;1,129990578;;;
258;1,264664263;1,139120892;;;
259;1,210681394;1,062859677;;;
260;1,388927162;1,095218278;;;
261;1,279029757;1,102783345;;;
262;1,325407565;1,098908946;;;
263;1,131761015;1,106863432;;;
264;1,317828119;1,029060673;;;
265;1,205798373;1,266103178;;;
266;1,236233205;1,070143342;;;
267;1,322987318;1,175216824;;;
268;1,406066716;1,116463669;;;
269;1,404396474;1,140399873;;;
270;1,351130784;1,281563401;;;
271;1,546438158;1,224225789;;;
272;1,479721695;1,285191953;;;
273;1,153868347;1,039451856;;;
274;1,206920996;1,046904217;;;
275;1,716813922;1,551217079;;;
276;1,320852369;1,173700005;;;
277;1,587666333;1,472274602;;;
278;1,136341229;1,26003778;;;
279;1,553341746;1,422001123;;;
280;1,023487335;1,149460733;;;
281;1,245237172;1,14399752;;;
282;1,386943162;1,053033903;;;
283;1,007897343;1,345305741;;;
284;1,15417558;1,267954767;;;
285;1,466640353;1,358081341;;;
286;1,361715019;1,16654931;;;
287;1,387739599;1,524033189;;;
288;1,208581373;1,157186285;;;
289;1,35110721;1,282017648;;;
290;1,146151364;1,223147988;;;
291;1,284608603;1,053319376;;;
292;1,019082991;1,433364034;;;
293;1,587200642;1,269104421;;;
294;1,195473224;1,252684265;;;
295;1,060310069;1,220144793;;;
296;1,332102776;1,07291235;;;
297;1,155009657;1,330523402;;;
298;1,344071657;1,577906728;;;
299;1,016658181;1,081598289;;;
300;1,147616565;1,163662002;;;
301;1,511170387;1,428722322;;;
302;1,693187118;1,913901985;;;
303;1,426839471;1,421069831;;;
304;1,908949792;1,849869371;;;
305;1,924516082;1,986234963;;;
306;2,259633899;1,953418553;;;
307;2,432581663;2,733528256;;;
308;2,303694248;2,486769915;;;
309;3,103543758;2,954541564;;;
310;2,727133632;2,814253449;;;
311;2,665465355;2,947860003;;;
312;2,456749082;2,874760747;;;
313;3,295432806;2,926659107;;;
314;3,243544817;3,648850441;;;
315;3,101422548;2,952564359;;;
316;2,87950623;2,456852436;;;
317;2,75161624;3,406448126;;;
318;2,140301347;2,273757815;;;
319;2,347078443;1,991247773;;;
320;1,463968247;2,391995549;;;
321;2,18708086;3,559033871;;;
322;1,701516986;2,513954043;;;
323;1,74250859;2,490620971;;;
324;1,804825306;3,052104473;;;
325;1,807031035;2,995969415;;;
326;1,575977266;2,202288032;;;
327;1,547935486;2,157067299;;;
328;1,855660915;1,954714894;;;
329;1,884819746;2,718255877;;;
330;2,003773451;2,382436991;;;
331;1,907594323;2,455414057;;;
332;1,949721396;1,8530882;;;
333;1,648951232;2,145524025;;;
334;1,889211893;2,427275658;;;
335;1,888670206;2,846424103;;;
336;1,8753407;2,19052124;;;
337;2,114500165;2,172392488;;;
338;2,491523623;2,116040945;;;
339;2,413330078;2,801125526;;;
340;2,259532213;2,514093518;;;
341;2,435644746;2,681841373;;;
342;2,532595754;2,597038627;;;
343;2,780481458;2,996316552;;;
344;2,90867424;2,726259232;;;
345;2,956122398;2,698321462;;;
346;2,965943217;2,557261944;;;
347;3,383894444;3,377032995;;;
348;3,77426362;3,3970263;;;
349;3,786749601;3,572449684;;;
350;3,98312974;3,623411179;;;
351;4,33163023;4,106352806;;;
352;4,546725988;4,424982786;;;
353;4,855272293;4,34954071;;;
354;5,336258411;4,602591515;;;
355;5,67011261;5,198576927;;;
356;6,171456814;5,375932693;;;
357;6,653159618;5,742685318;;;
358;7,278945446;6,17007494;;;
359;7,738630772;6,744448185;;;
360;8,434900761;7,074627876;;;
361;9,220059395;7,657205582;;;
362;9,803876877;8,248888016;;;
363;10,68719673;8,941414356;;;
364;11,64760399;9,756893158;;;
365;12,52616119;10,19769669;;;
366;13,60576534;11,30722427;;;
367;14,68151474;12,08919716;;;
368;15,80858135;13,28599739;;;
369;16,93140697;14,15130901;;;
370;18,17944717;15,05813694;;;
371;19,48834229;16,28062534;;;
372;20,73883057;17,28398323;;;
373;22,15669441;18,65535927;;;
374;23,47099304;19,60466766;;;
375;24,89076233;20,88934517;;;
376;26,31831932;22,21813202;;;
377;27,71603584;23,43354607;;;
378;29,1288681;24,58574486;;;
379;30,5029335;25,83332062;;;
380;31,85733032;27,16866302;;;
381;33,18009949;28,41088295;;;
382;34,54994202;29,77083206;;;
383;35,86893845;30,86914253;;;
384;37,0430603;32,08216476;;;
385;38,15669632;33,12825775;;;
386;39,2342453;34,40095139;;;
387;40,27703094;35,50457382;;;
388;41,24393082;36,50378036;;;
389;42,1864357;37,42272186;;;
390;43,08856583;38,26220322;;;
391;43,83227921;39,08278656;;;
392;44,49688721;39,89862442;;;
393;45,14894104;40,69339371;;;
394;45,79572678;41,41553116;;;
395;46,33529282;42,15982056;;;
396;46,81629181;42,76057053;;;
397;47,31024551;43,24831009;;;
398;47,70586777;43,82072067;;;
399;48,12771988;44,27881241;;;
400;49,17233368;45,85856567;;;
401;49,20709457;45,88441238;;;
402;49,28885574;45,90413589;;;
403;49,35797119;46,02032852;;;
404;49,61090851;46,35983658;;;
405;49,86494827;46,54393768;;;
406;50,02655792;46,85484695;;;
407;50,21715927;47,18725586;;;
408;50,41692734;47,5173645;;;
409;50,61133575;47,83165359;;;
410;50,76638794;48,05091858;;;
411;50,92458344;48,22957993;;;
412;51,07181168;48,38881302;;;
413;51,2083168;48,49177551;;;
414;51,36200333;48,77748871;;;
415;51,48205185;48,98647308;;;
416;51,61580658;49,21238708;;;
417;51,76301193;49,42811966;;;
418;51,87205887;49,59024811;;;
419;51,98351288;49,63892365;;;
420;52,06989288;49,7196846;;;
421;52,2048378;49,82831192;;;
422;52,3182869;50,01557541;;;
423;52,40818405;50,11609268;;;
424;52,49829483;50,33699799;;;
425;52,58911896;50,46743774;;;
426;52,67200089;50,56523895;;;
427;52,76681137;50,57014084;;;
428;52,84370804;50,61008072;;;
429;52,91024017;50,60579681;;;
430;52,99128342;50,6967659;;;
431;53,04347229;50,83650589;;;
432;53,14512253;50,9500351;;;
433;53,20051575;51,08761978;;;
434;53,26150894;51,11097717;;;
435;53,31753159;51,11490631;;;
436;53,3687706;51,09893036;;;
437;53,42133713;51,03116608;;;
438;53,47618484;51,02571487;;;
439;53,50931931;51,04174042;;;
440;53,57300568;51,17837906;;;
441;53,61742401;51,26804733;;;
442;53,65265656;51,34156418;;;
443;53,70779037;51,38406754;;;
444;53,75446701;51,32106018;;;
445;53,77798843;51,24727631;;;
446;53,81237793;51,20529175;;;
447;53,8503952;51,15157318;;;
448;53,88562012;51,16414642;;;
449;53,92851257;51,207901;;;
450;53,96652985;51,28694153;;;
451;53,99254227;51,34275818;;;
452;54,01905441;51,36832809;;;
453;54,0623436;51,31537247;;;
454;54,08644104;51,25587845;;;
455;54,1343689;51,18591309;;;
456;54,14369965;51,0942955;;;
457;54,17272568;51,07069778;;;
458;54,21227264;51,10627365;;;
459;54,25798416;51,14793396;;;
460;54,28568649;51,23630905;;;
461;54,32382202;51,27783585;;;
462;54,35568619;51,28040314;;;
463;54,39342499;51,23921204;;;
464;54,411026;51,15537643;;;
465;54,45143509;51,06624985;;;
466;54,48147202;51,00811386;;;
467;54,51285172;50,99131012;;;
468;54,5689888;51,02919388;;;
469;54,61154556;51,08797455;;;
470;54,6575737;51,17260361;;;
471;54,67711639;51,18645477;;;
472;54,73923111;51,21158981;;;
473;54,76957703;51,19533157;;;
474;54,80545425;51,13089752;;;
475;54,83768845;51,05064011;;;
476;54,89221954;50,99245834;;;
477;54,93102646;50,9616127;;;
478;54,9797554;50,98807144;;;
479;55,02855682;51,03600693;;;
480;55,08486557;51,11929703;;;
481;55,12709045;51,17154312;;;
482;55,17662811;51,21666718;;;
483;55,20779419;51,20580292;;;
484;55,25626755;51,18194962;;;
485;55,29476547;51,1428833;;;
486;55,34386063;51,07709885;;;
487;55,39169312;51,06660843;;;
488;55,43927002;51,04853439;;;
489;55,48295975;51,08755875;;;
490;55,53808212;51,12373352;;;
491;55,58878708;51,18462372;;;
492;55,6302681;51,23594666;;;
493;55,66126633;51,28609467;;;
494;55,70629501;51,3083725;;;
495;55,73366928;51,2980957;;;
496;55,77138901;51,24087524;;;
497;55,8118515;51,2179451;;;
498;55,84574509;51,18928528;;;
499;55,88172913;51,16951752;;;
500;55,93575287;51,1937561;;;
501;55,9675293;51,22068024;;;
502;56,00353622;51,25101471;;;
503;56,04333496;51,30484009;;;
504;56,06678391;51,34567261;;;
505;56,08333588;51,33798218;;;
506;56,11097717;51,36895752;;;
507;56,14574051;51,36119843;;;
508;56,16145706;51,33980179;;;
509;56,18795776;51,30166626;;;
510;56,20588684;51,27541351;;;
511;56,23154831;51,26676178;;;
512;56,25363159;51,26804352;;;
513;56,27453995;51,28105545;;;
514;56,30804825;51,33755493;;;
515;56,31070328;51,35060501;;;
516;56,3232193;51,36424255;;;
517;56,32663345;51,37533188;;;
518;56,33803177;51,37081146;;;
519;56,32954407;51,37192535;;;
520;56,34321594;51,32668304;;;
521;56,3524971;51,31376648;;;
522;56,36448288;51,29708862;;;
523;56,35915375;51,28932571;;;
524;56,36875153;51,28027344;;;
525;56,38358688;51,27383423;;;
526;56,38330078;51,29190826;;;
527;56,38340378;51,2923317;;;
528;56,3782959;51,284935;;;
529;56,36412048;51,29117966;;;
530;56,35162735;51,31132126;;;
531;56,34302139;51,27634048;;;
532;56,33856583;51,27352142;;;
533;56,32328033;51,25749969;;;
534;56,30566025;51,2360878;;;
535;56,29689789;51,22398758;;;
536;56,28701401;51,21019745;;;
537;56,28665161;51,21950531;;;
538;56,27206802;51,2204361;;;
539;56,25200272;51,20415115;;;
540;56,25942993;51,2049675;;;
541;56,22994995;51,18906021;;;
542;56,20428848;51,16661835;;;
543;56,17962646;51,16055679;;;
544;56,15244675;51,12857437;;;
545;56,14289856;51,12679291;;;
546;56,1069603;51,11087799;;;
547;56,08559799;51,1054039;;;
548;56,06354523;51,09114838;;;
549;56,04905701;51,10007477;;;
550;56,03218079;51,1061554;;;
551;56,01551819;51,11650467;;;
552;56,00008011;51,12897873;;;
553;55,98238754;51,11751175;;;
554;55,95970154;51,09070587;;;
555;55,93851471;51,06586456;;;
556;55,90824509;51,04370117;;;
557;55,87378311;51,00226593;;;
558;55,84058762;50,99617767;;;
559;55,81551361;50,96398163;;;
560;55,78680801;50,96391678;;;
561;55,758461;50,95942307;;;
562;55,73197556;50,9754982;;;
563;55,70930481;51,0136795;;;
564;55,68695831;51,01791;;;
565;55,65826416;51,02885437;;;
