Wavelength (nm),O777PP,Ha656,Hb486,Hg434,HeI588,NII569,HeI447,ClII479,CII515
1598.2,0.004657946374859867,1.722277420510925e-06,0.023937912608612676,3.430280268527315e-07,5.522920169362738e-08,1.0271724230215292e-08,5.271957258905885e-08,2.4945945718027003e-08,7.90707366937852e-05
1598.4,0.0046634574636973255,1.7239440647952147e-06,0.023777948257744968,3.415832058652392e-07,5.524328442910886e-08,1.0272132287824356e-08,5.248288224502852e-08,2.4870703697752476e-08,7.88152781834551e-05
1598.6,0.004668972424521639,1.7256114701896546e-06,0.023613292129958725,3.4013964679730297e-07,5.525732268185717e-08,1.0272532181600244e-08,5.2246517688397996e-08,2.4795349590023428e-08,7.855957662399415e-05
1598.8,0.00467449125845557,1.727279636745912e-06,0.023444054435498324,3.386973512490735e-07,5.5271316419020106e-08,1.0272923910683879e-08,5.2010478892527835e-08,2.471988334548562e-08,7.830363199448761e-05
1599.0,0.004680013966621708,1.7289485645156381e-06,0.023281066838693926,3.3725632082050825e-07,5.528526560774969e-08,1.0273307474216366e-08,5.177476583077867e-08,2.4644304914791536e-08,7.804744427402566e-05
1599.2,0.004685790718122704,1.7302805875832567e-06,0.02311719895886407,3.3599790677777886e-07,5.531388280281014e-08,1.0273862631575367e-08,5.1571238310575836e-08,2.4572475267537043e-08,7.778390507842664e-05
1599.4,0.004691571449749593,1.7316124238628925e-06,0.02294890889821755,3.3473988472249676e-07,5.534246047902806e-08,1.0274407434061004e-08,5.136785251587942e-08,2.450054458499843e-08,7.752027142109037e-05
1599.6,0.004697356163093502,1.7329440728945328e-06,0.022786799571057816,3.3348225565308016e-07,5.537099859095423e-08,1.027494188525327e-08,5.116460851468495e-08,2.4428512806678574e-08,7.725654341974359e-05
1599.8,0.004703144859745853,1.7342755342180246e-06,0.022625544679985815,3.3222502056830245e-07,5.5399497093125385e-08,1.0275465988735568e-08,5.0961506374987876e-08,2.4356379872065658e-08,7.699272119217363e-05
1600.0,0.004708937541298355,1.735606807373072e-06,0.022459968066580054,3.3096818046729206e-07,5.542795594006429e-08,1.0275979748094713e-08,5.075854616478372e-08,2.428414572063328e-08,7.67288048562287e-05
1600.2,0.004713426572128299,1.7373755019171519e-06,0.022295833206850805,3.298757221912162e-07,5.542990665096741e-08,1.0277016566082753e-08,5.057879920302071e-08,2.421237561419344e-08,7.650706448458962e-05
1600.4,0.004717917757350224,1.7391451529337383e-06,0.022137757215852216,3.287833163439614e-07,5.5431794806426866e-08,1.027804150704297e-08,5.039914697299751e-08,2.4140558647864752e-08,7.628514381900151e-05
1600.6,0.004722411097356427,1.7409157606064175e-06,0.021975504006180972,3.276909633773105e-07,5.5433620364744474e-08,1.027905456116077e-08,5.021958947543161e-08,2.4068694814772338e-08,7.606304283188406e-05
1600.8,0.004726906592539219,1.7426873251187764e-06,0.021814202908702632,3.265986637430509e-07,5.5435383284221706e-08,1.0280055718621465e-08,5.004012671104056e-08,2.3996784108041313e-08,7.584076149565679e-05
1601.0,0.004731404243290907,1.7444598466544035e-06,0.02165384888056734,3.2550641789297435e-07,5.54370835231596e-08,1.0281044969610268e-08,4.9860758680541866e-08,2.392482652079666e-08,7.561829978273887e-05
1601.2,0.004735239943547435,1.7448456895913563e-06,0.021493491546795,3.246078748168494e-07,5.5432660187765024e-08,1.0274169280388237e-08,4.9710766468210854e-08,2.3851772961342063e-08,7.53429966876912e-05
1601.4,0.0047390772378601564,1.7452309648380609e-06,0.021334111458579056,3.237086280823416e-07,5.542818176840469e-08,1.0267287362088542e-08,4.956074103960522e-08,2.3778708092816253e-08,7.506795189493851e-05
1601.6,0.004742916126427022,1.7456156722901227e-06,0.02117570319900738,3.2280867753153746e-07,5.542364823153339e-08,1.026039922357394e-08,4.941068239530048e-08,2.3705631935598526e-08,7.479316531284256e-05
1601.8,0.004746756609445981,1.7459998118431514e-06,0.02102310157683296,3.219080230065269e-07,5.5419059543606704e-08,1.0253504873706999e-08,4.9260590535872114e-08,2.3632544510067704e-08,7.451863684976702e-05
1602.0,0.004750598687114971,1.7463833833927564e-06,0.020866584816872254,3.210066643494038e-07,5.54144156710809e-08,1.0246604321350084e-08,4.9110465461895616e-08,2.355944583660219e-08,7.424436641407748e-05
1602.2,0.004757199985114131,1.7485103651903553e-06,0.02072710970761624,3.2036624570980317e-07,5.5449731972570946e-08,1.0251377239458709e-08,4.899903054908323e-08,2.3499165609103692e-08,7.404170872571371e-05
1602.4,0.004763807500683103,1.7506389647838597e-06,0.020583646839569914,3.197242152879813e-07,5.54850353699006e-08,1.0256146499166463e-08,4.8887410366079426e-08,2.3438834781507725e-08,7.383896370273382e-05
1602.6,0.004770421237324512,1.752769182835439e-06,0.020445704522536245,3.1908057171981593e-07,5.552032583369903e-08,1.0260912097318942e-08,4.8775604856892284e-08,2.3378453343238626e-08,7.363613133439561e-05
1602.8,0.00477704119854183,1.7549010200073766e-06,0.020308507072376334,3.184353136407824e-07,5.555560333458478e-08,1.0265674030761007e-08,4.866361396552985e-08,2.331802128372178e-08,7.343321160995818e-05
1603.0,0.004783667387839391,1.757034476962077e-06,0.020172050858347848,3.177884396859543e-07,5.559086784316581e-08,1.0270432296336782e-08,4.855143763600018e-08,2.3257538592383523e-08,7.32302045186817e-05
1603.2,0.004787472350461645,1.7576779297509637e-06,0.020035614515817497,3.1722400866471415e-07,5.560356351597003e-08,1.0268372338605227e-08,4.845396815888963e-08,2.319083378143784e-08,7.298885864491264e-05
1603.4,0.004791278982036892,1.7583211461923711e-06,0.019899948453965033,3.1665808625671157e-07,5.561623003686517e-08,1.0266307030637252e-08,4.835631611894458e-08,2.312414304908903e-08,7.274775168084173e-05
1603.6,0.0047950872828783015,1.7589641262033507e-06,0.019765048726146362,3.1609067141774963e-07,5.562886738016808e-08,1.0264236374595183e-08,4.825848148366205e-08,2.3057466439273562e-08,7.25068835723549e-05
1603.8,0.004798897253299062,1.7596068697009468e-06,0.019630911407280315,3.1552176310343426e-07,5.564147552019056e-08,1.026216037264214e-08,4.8160464220539095e-08,2.299080399593802e-08,7.226625426531108e-05
1604.0,0.004802708893612386,1.7602493766021994e-06,0.019502022575892067,3.149513602691738e-07,5.565405443123932e-08,1.0260079026942044e-08,4.80622642970727e-08,2.2924155763039083e-08,7.20258637055421e-05
1604.2,0.004806102109172148,1.7607332122964964e-06,0.01936870232679241,3.1449525281733163e-07,5.5643286584413164e-08,1.025366910947345e-08,4.798284582688737e-08,2.285673643852885e-08,7.178306068718656e-05
1604.4,0.0048094959515855035,1.7612165155974867e-06,0.01924502725847923,3.140374933961797e-07,5.563246728775057e-08,1.0247253236925773e-08,4.790320784443192e-08,2.278936511258608e-08,7.15406037191298e-05
1604.6,0.0048128904203442666,1.7616992864894025e-06,0.01911761268500476,3.135780818602337e-07,5.5621596536913126e-08,1.0240831418604337e-08,4.7823350462147955e-08,2.2722041806591746e-08,7.129849255364565e-05
1604.8,0.0048162855149400195,1.7621815249565703e-06,0.01899528855659103,3.131170180646133e-07,5.561067432758022e-08,1.023440366381083e-08,4.774327379247713e-08,2.2654766541905453e-08,7.105672694308246e-05
1605.0,0.004819681234864107,1.7626632309834123e-06,0.018877967155892572,3.1265430186504004e-07,5.5599700655448896e-08,1.0227969981843332e-08,4.766297794786101e-08,2.2587539339865385e-08,7.081530663986311e-05
1605.2,0.004823080970873085,1.7633897664923297e-06,0.018767169846481913,3.124304166491186e-07,5.560100761337025e-08,1.0225213552505327e-08,4.7618025883542054e-08,2.25326608659665e-08,7.062255604300664e-05
1605.4,0.004826482185503878,1.7641163488073744e-06,0.01866121428566166,3.1220457109414217e-07,5.560227703418007e-08,1.0222451442633738e-08,4.757279553083678e-08,2.24777892867522e-08,7.042993725213852e-05
1605.6,0.004829884879028223,1.7648429778892645e-06,0.018560025207574608,3.119767631641567e-07,5.560350888371244e-08,1.0219683651181532e-08,4.7527286769184026e-08,2.24229246501603e-08,7.023745032335346e-05
1605.8,0.00483328905171783,1.7655696536987183e-06,0.018459280073436408,3.117469908224888e-07,5.560470312779038e-08,1.0216910177102254e-08,4.748149947802254e-08,2.2368067004150998e-08,7.004509531272593e-05
1606.0,0.004836694703844395,1.7662963761964576e-06,0.018358977157072624,3.1151525203174675e-07,5.560585973222602e-08,1.0214131019350046e-08,4.7435433536791166e-08,2.231321639670691e-08,6.985287227631003e-05
1606.2,0.004841002671492416,1.7675765890300543e-06,0.018261487020474726,3.1141677303032575e-07,5.5600692005093266e-08,1.0211489078736063e-08,4.7410492287253036e-08,2.2256139498862627e-08,6.966264208330463e-05
1606.4,0.0048453133227109365,1.7688573830531678e-06,0.018164424211912552,3.113162951565238e-07,5.5595497585637235e-08,1.0208843261140653e-08,4.738525725031916e-08,2.2199098165374154e-08,6.947258724834745e-05
1606.6,0.004849626658523213,1.7701387584030562e-06,0.01807194782055321,3.1121381672591657e-07,5.5590276457522655e-08,1.020619356535619e-08,4.735972835442957e-08,2.2142092452732443e-08,6.928270785259977e-05
1606.8,0.004853942679952671,1.7714207152169912e-06,0.017979852104375835,3.1110933605368565e-07,5.558502860441089e-08,1.0203539990174934e-08,4.73339055280243e-08,2.2085122417443394e-08,6.909300397723268e-05
1607.0,0.004858261388022912,1.7727032536322578e-06,0.017892255070244507,3.11002851454618e-07,5.557975400995996e-08,1.0200882534389004e-08,4.7307788699543356e-08,2.2028188116027854e-08,6.890347570342709e-05
1607.2,0.004860856556656222,1.7731930270652891e-06,0.01781678043113192,3.11128997467922e-07,5.560891891439445e-08,1.0203604659598546e-08,4.731541889440468e-08,2.1985832943764363e-08,6.875326416733498e-05
1607.4,0.0048634522274904396,1.773682718862746e-06,0.01774566567327993,3.1125387025915417e-07,5.563808898627122e-08,1.0206326258637896e-08,4.73228517833165e-08,2.1943504651332925e-08,6.860321360354911e-05
1607.6,0.0048660484003963875,1.7741723290298782e-06,0.017674790718701254,3.1137746903350365e-07,5.5667264223920687e-08,1.0209047331547707e-08,4.733008738995514e-08,2.190120326990701e-08,6.84533239882109e-05
1607.8,0.004868645075244897,1.7746618575719371e-06,0.017608208830116198,3.114997929963118e-07,5.569644462567335e-08,1.021176787836862e-08,4.7337125737996996e-08,2.185892883065462e-08,6.830359529746268e-05
1608.0,0.0048712422519068006,1.7751513044941717e-06,0.017541833838277864,3.116208413530717e-07,5.572563018985982e-08,1.0214487899141282e-08,4.734396685111837e-08,2.1816681364738307e-08,6.815402750744777e-05
1608.2,0.004874462498151176,1.7758740909385661e-06,0.017482151568182534,3.1187992787521094e-07,5.572274734875991e-08,1.0211367823739977e-08,4.7370675524797315e-08,2.1777527810047647e-08,6.801445199756176e-05
1608.4,0.004877684177787162,1.7765970447712042e-06,0.017422631404944513,3.121377659446513e-07,5.5719838003812376e-08,1.0208244544592959e-08,4.739718036324497e-08,2.17383934329841e-08,6.787500763850117e-05
1608.6,0.004880907291173395,1.777320166009501e-06,0.01736727149387876,3.1239435433210793e-07,5.571690213962642e-08,1.0205118061252606e-08,4.742348134306513e-08,2.1699278273460157e-08,6.773569445223098e-05
1608.8,0.004884131838668535,1.778043454670871e-06,0.017312046626541427,3.1264969180813166e-07,5.571393974080931e-08,1.0201988373271267e-08,4.744957844086161e-08,2.166018237139398e-08,6.759651246071707e-05
1609.0,0.004887357820631283,1.7787669107727315e-06,0.017260930561092323,3.129037771431088e-07,5.571095079196648e-08,1.019885548020129e-08,4.7475471633238206e-08,2.16211057667094e-08,6.745746168592625e-05
1609.2,0.004889513367024965,1.7793518762731016e-06,0.017216879724828178,3.133580370350678e-07,5.5707703722143934e-08,1.0197117457986567e-08,4.7534137495113047e-08,2.1590770514592127e-08,6.735526246332574e-05
1609.4,0.004891669418487699,1.7799369357280087e-06,0.01717686688545144,3.1381164850969564e-07,5.5704434694701066e-08,1.019537604355105e-08,4.7592679711047374e-08,2.1560441304850596e-08,6.725310656880989e-05
1609.6,0.004893825975006703,1.7805220891291263e-06,0.01713691796001201,3.1426461057208325e-07,5.5701143696117556e-08,1.0193631235366173e-08,4.765109821017512e-08,2.1530118168360364e-08,6.715099407650416e-05
1609.8,0.004895983036569156,1.78110733646812e-06,0.01710097007607782,3.147169222269177e-07,5.569783071286997e-08,1.0191883031903106e-08,4.7709392921630106e-08,2.149980113601176e-08,6.704892506055614e-05
1610.0,0.004898140603162216,1.7816926777366525e-06,0.017068998375934657,3.151685824784839e-07,5.5694495731431814e-08,1.019013143163274e-08,4.7767563774546274e-08,2.1469490238710007e-08,6.694689959513571e-05
1610.2,0.004900466164250568,1.7825817320454477e-06,0.01704012526820017,3.1573227681644895e-07,5.569821074210021e-08,1.019105774744875e-08,4.784330165327865e-08,2.1443046083842283e-08,6.686605852769917e-05
1610.4,0.004902792111592839,1.7834709503141224e-06,0.017011282179753,3.1629557740178583e-07,5.570192189025687e-08,1.0191983289496518e-08,4.7918949190079237e-08,2.1416610801869055e-08,6.67852404838473e-05
1610.6,0.004905118445013289,1.7843603324746875e-06,0.01699029160522242,3.168584840287448e-07,5.57056291757861e-08,1.0192908057744348e-08,4.799450640868046e-08,2.139018440082069e-08,6.670444549345233e-05
1610.8,0.004907445164336112,1.7852498784591244e-06,0.016965401211728404,3.1742099649170353e-07,5.570933259857253e-08,1.0193832052160601e-08,4.8069973332814784e-08,2.136376688872356e-08,6.662367358637243e-05
1611.0,0.0049097722693854364,1.78613958819939e-06,0.016944429594066085,3.179831145851661e-07,5.571303215850104e-08,1.0194755272713703e-08,4.814534998621463e-08,2.1337358273600002e-08,6.654292479245179e-05
1611.2,0.004910981349776904,1.7851330083627842e-06,0.016931890691096508,3.1862305741459055e-07,5.570531333778092e-08,1.0185090186236041e-08,4.8230383441722794e-08,2.1316659687333973e-08,6.642455232059514e-05
1611.4,0.004912190423964,1.7841264252012286e-06,0.016919341132925238,3.1926306801080706e-07,5.5697583473760195e-08,1.0175429425226029e-08,4.831538535557659e-08,2.1295956092384567e-08,6.630629520567297e-05
1611.6,0.0049133994919416685,1.7831198387191548e-06,0.01691067430008729,3.1990314623150975e-07,5.568984256614304e-08,1.0165772989857418e-08,4.840035572949568e-08,2.1275247494052556e-08,6.618815340554987e-05
1611.8,0.0049146085537048545,1.7821132489209946e-06,0.01690199191826698,3.205432919344042e-07,5.56820906146338e-08,1.0156120880303938e-08,4.8485294565199775e-08,2.1254533897638313e-08,6.607012687809333e-05
1612.0,0.0049158176092485035,1.7811066558111792e-06,0.016897184250792858,3.211835049772069e-07,5.567432761893683e-08,1.014647309673928e-08,4.857020186440857e-08,2.1233815308441797e-08,6.595221558117377e-05
1612.2,0.004918160550346777,1.7817212998307239e-06,0.0169051625537785,3.2209515836029644e-07,5.5683640144331564e-08,1.0146836207586714e-08,4.869481073129351e-08,2.1229171571037008e-08,6.59291240221891e-05
1612.4,0.004920504039531572,1.7823360467006506e-06,0.016917017875309498,3.23007996961815e-07,5.569294487195927e-08,1.0147198177407825e-08,4.8819530937461224e-08,2.122450175675919e-08,6.590595999689013e-05
1612.6,0.004922848076784711,1.7829508964142085e-06,0.016928859866819457,3.2392202163454227e-07,5.5702241798792646e-08,1.0147559005982745e-08,4.8944362520927474e-08,2.1219805840587256e-08,6.588272345255896e-05
1612.8,0.004925192662088001,1.7835658489646432e-06,0.01694458964153198,3.248372332315321e-07,5.571153092180517e-08,1.014791869309168e-08,4.90693055197081e-08,2.1215083797491014e-08,6.585941433646312e-05
1613.0,0.004927537795423223,1.7841809043451953e-06,0.016960312280270198,3.257536326061118e-07,5.5720812237971146e-08,1.014827723851491e-08,4.91943599718189e-08,2.1210335602431164e-08,6.583603259585548e-05
1613.2,0.004928607946721572,1.7838076976519475e-06,0.016979380733787904,3.2677395803093154e-07,5.572022287684178e-08,1.014384413597022e-08,4.933860393560867e-08,2.1209749660904556e-08,6.580615133281549e-05
1613.4,0.004929677806238426,1.7834343585074073e-06,0.01700235249241884,3.277959645672113e-07,5.571962426977566e-08,1.0139411167625614e-08,4.948304414695864e-08,2.1209123038973145e-08,6.57761566492205e-05
1613.6,0.004930747373794991,1.783060886997998e-06,0.017029243302132676,3.288196535564267e-07,5.571901641669934e-08,1.0134978334532811e-08,4.96276806909549e-08,2.1208455692494704e-08,6.574604856195217e-05
1613.8,0.004931816649212484,1.782687283210137e-06,0.017056143836122008,3.298450263405036e-07,5.571839931754153e-08,1.0130545637743087e-08,4.9772513652683605e-08,2.120774757731032e-08,6.571582708795107e-05
1614.0,0.004932885632312138,1.782313547230237e-06,0.017083053967045823,3.3087208426181665e-07,5.5717772972232996e-08,1.0126113078307273e-08,4.9917543117230836e-08,2.1206998649244354e-08,6.568549224421682e-05
1614.2,0.004931977628097182,1.7812954290392456e-06,0.017115361252211674,3.3186665280882075e-07,5.569183323151338e-08,1.0117479459217815e-08,5.0055312549878034e-08,2.120800250415196e-08,6.566316469253635e-05
1614.4,0.004931068994961809,1.780277676154162e-06,0.017151637320180952,3.328625726816557e-07,5.5665892767017526e-08,1.0108851280604767e-08,5.019321820053691e-08,2.1208955484835426e-08,6.564068975249023e-05
1614.6,0.004930159733235894,1.7792602885221856e-06,0.017183991795826928,3.338598435666087e-07,5.563995158810113e-08,1.0100228540222026e-08,5.033125992175121e-08,2.120985758986151e-08,6.561806759511945e-05
1614.8,0.004929249843249332,1.778243266090508e-06,0.017220330650728522,3.3485846514900804e-07,5.561400970411546e-08,1.009161123582394e-08,5.0469437566064625e-08,2.1210708817830772e-08,6.559529839140445e-05
1615.0,0.004928339325332052,1.7772266088063155e-06,0.017260678889906216,3.358584371132232e-07,5.558806712440756e-08,1.0082999365165315e-08,5.060775098602091e-08,2.1211509167377546e-08,6.557238231226498e-05
1615.2,0.004929223418511449,1.7763924050023013e-06,0.017314554138282288,3.3713086998694323e-07,5.560119964275774e-08,1.007883947614414e-08,5.078999228779729e-08,2.122877863798591e-08,6.558319972872932e-05
1615.4,0.0049301071642572705,1.7755580933135812e-06,0.017368534210032784,3.3840605276796856e-07,5.561432885203727e-08,1.00746783420333e-08,5.0972579710041386e-08,2.1245984691219518e-08,6.559376801158824e-05
1615.6,0.004930990562317946,1.7747236738835809e-06,0.01742261912710774,3.3968398748773263e-07,5.562745474858848e-08,1.0070515963699542e-08,5.1155513364751087e-08,2.1263127262468558e-08,6.560408737260103e-05
1615.8,0.004931873612441867,1.7738891468557687e-06,0.01748083355998388,3.409646761782252e-07,5.564057732875281e-08,1.0066352342010016e-08,5.1338793363924395e-08,2.1280206287103623e-08,6.561415802367718e-05
1616.0,0.004932756314377365,1.7730545123736563e-06,0.017539178822073065,3.422481208719908e-07,5.565369658887079e-08,1.006218747783229e-08,5.152241981955918e-08,2.1297221700475624e-08,6.562398017687604e-05
1616.2,0.004933249237167001,1.773773385468289e-06,0.01760722270110813,3.436155239713098e-07,5.5655245162514196e-08,1.0065541385914343e-08,5.171621703803133e-08,2.1320851886755624e-08,6.571686215385785e-05
1616.4,0.004933741544232399,1.774491892952693e-06,0.01767138898461527,3.4498611323561455e-07,5.565678574826477e-08,1.0068892587747805e-08,5.191040338965872e-08,2.1344421203069304e-08,6.580959158056075e-05
1616.6,0.0049342332353876665,1.7752100346580715e-06,0.017739801163275802,3.463598914188154e-07,5.565831834543486e-08,1.0072241082767088e-08,5.2104979016839676e-08,2.1367929569480146e-08,6.590216801417456e-05
