Blue,,Green,,Red,
X,Y,X,Y,X,Y
401.2189854848535,0.3814349476740839,401.7970109209002,0.04968825614456185,401.8389588159965,0.09361702406480599
400.3148151644334,0.37163546862370866,405.37847804853936,0.052009127697226654,405.4106013050473,0.08564931576246615
402.4224540367854,0.3923102614462808,408.95972439778325,0.05409879520820593,408.98257496169094,0.07802841352265455
403.6254187408796,0.4026579345662027,412.5407499686319,0.055957258677499455,412.55410706154413,0.069945103199472
404.8291593233342,0.41381812474690505,416.121665150283,0.05770012012595038,416.12762616695454,0.06394262925145877
406.0325025046773,0.4245621476525735,419.702580331934,0.05944298157440142,420.29338331760545,0.05343314834654678
407.2358646098829,0.4353259880475291,423.2842682379684,0.061995057168751644,423.8675647582015,0.04812428652359013
408.33871156836267,0.44494677458425436,426.86639770079324,0.0650095408464727,427.44141503120477,0.04246861863810525
409.6413776930974,0.45558534952305174,430.448858331211,0.06837083058672222,431.0158172501961,0.03739096085683413
410.84386930063033,0.4654375854107904,434.0333059671859,0.07381295670214105,434.5911025827685,0.03323811924230491
412.64087297087485,0.4731642159709908,437.6180847707537,0.07960188888008812,438.16671908293364,0.029432083690304034
414.43856105414454,0.4816075790604162,441.2035259095072,0.08608443318309178,441.74288752908694,0.026204058242516814
416.23613874821666,0.48993534012899886,444.7901813294346,0.09383859971536557,445.31927675363545,0.023207236836415124
418.28989823019805,0.4988087129483981,448.3770575277572,0.10182397028932488,448.8961075349745,0.02067282351368438
419.8322876391395,0.5076312804537491,451.66689847311926,0.11110334756873874,452.4736006514993,0.018832022316010222
421.9298755750481,0.517780509278589,454.65875481842124,0.12068255417435969,456.0516457140121,0.01756923122254972
424.0278498731483,0.5283343451763789,457.9058372965788,0.12980658932178712,459.63002194411786,0.016653246191617455
425.8266418483942,0.5379337284742316,460.0447541595827,0.13861411410870006,463.2092812878046,0.016662077327427194
427.6251026560473,0.5471863057095563,461.8437669132239,0.14844470144823851,466.7885406314913,0.016670908463236933
429.72244221626124,0.5570754299875003,463.40471432327405,0.15885271014960334,470.36779997517795,0.016679739599046672
432.1178878046526,0.5667918871621642,465.35795970985527,0.16955894840991437,473.9472800972599,0.01691977477654183
434.51275384975645,0.5759014337274038,467.2443376284714,0.18163572813382156,477.5269809977371,0.017391013995722626
436.90753710296207,0.5849242787770111,469.0432179150754,0.19132759304834868,481.1062403414238,0.017399845131532365
439.3023203561677,0.5939471238266187,469.94528532128083,0.19892485360166967,484.68561007430816,0.017524278288184925
441.7964262899335,0.6028642456664484,471.147258099585,0.20823375999144755,488.26542136398297,0.01811111952820832
445.1060931351884,0.6120820175966117,472.65051059549813,0.22069355737717422,491.8452326536578,0.018697960768231825
448.11078651762716,0.6212219692309406,473.55567441869687,0.2315334546151342,495.4251543325302,0.01940040402909804
451.2687025594582,0.6311715111521384,474.75797836459384,0.2411891670674403,499.005848735786,0.02091206143586355
454.8546956441998,0.6382320655593556,476.26123086050706,0.253648964453167,502.58654313904174,0.02242371884262906
458.4411302857319,0.645755028049944,477.1662290999093,0.26431545865986283,506.1680102666809,0.024744590395293642
462.0248051973235,0.6503879400194637,478.36836746200987,0.27379776808090484,509.7498085619129,0.027412268010486573
