Wavelength (nm);P-Polarized;S-Polarized;;;
250;0,728610578;0,050659;;;
251;0,2788391;0,0678711;;;
252;0,4082489;0,3846283;;;
253;0,724460178;0,715518894;;;
254;0,689193227;0,4066925;;;
255;0,691341948;0,65137291;;;
256;0,130245507;0,669848187;;;
257;0,690102158;0,699215736;;;
258;0,667731068;0,725052304;;;
259;0,296314389;0,295061678;;;
260;0,704132506;0,601607382;;;
261;0,332356304;0,714172956;;;
262;0,683910644;0,376900137;;;
263;0,690420277;0,496737421;;;
264;0,746344007;0,70951393;;;
265;0,726281467;0,02951771;;;
266;0,697087345;0,732014179;;;
267;0,06416028;0,680943769;;;
268;0,140279204;0,748005959;;;
269;0,683258108;0,450975448;;;
270;0,667497993;0,708430644;;;
271;0,742157508;0,066613249;;;
272;0,093611658;0,668051296;;;
273;0,495388359;0,722705333;;;
274;0,669190109;0,687439819;;;
275;0,672539504;0,700952747;;;
276;0,264349878;0,744136763;;;
277;0,500469208;0,677546958;;;
278;0,691516086;0,614116013;;;
279;0,671351455;0,712198234;;;
280;0,672013232;0,69355145;;;
281;0,741248603;0,682807222;;;
282;0,692320317;0,596926272;;;
283;0,719451528;0,685467515;;;
284;0,674530346;0,688214648;;;
285;0,497582972;0,654716253;;;
286;0,731771416;0,728960072;;;
287;0,697717882;0,67106389;;;
288;0,704417557;0,71942288;;;
289;0,749705912;0,668900355;;;
290;0,700794888;0,309833288;;;
291;0,65083921;0,686953778;;;
292;0,374834657;0,604809284;;;
293;0,685620434;0,737648414;;;
294;0,12114504;0,675951294;;;
295;0,711682779;0,309887081;;;
296;0,698209975;0,743704249;;;
297;0,739319286;0,274232507;;;
298;0,714363164;0,397017598;;;
299;0,717241762;0,692900372;;;
300;0,686628613;0,696520395;;;
301;0,516707301;0,727286859;;;
302;0,730143727;0,670827505;;;
303;0,702183499;0,68339591;;;
304;0,703917849;0,716741728;;;
305;0,684643553;0,713190702;;;
306;0,680653346;0,687014979;;;
307;0,700420698;0,338578075;;;
308;0,738085482;0,679152865;;;
309;0,678615782;0,704171942;;;
310;0,685090047;0,700367827;;;
311;0,731392717;0,316942006;;;
312;0,110148996;0,727233515;;;
313;0,707023515;0,719185451;;;
314;0,70553789;0,68059266;;;
315;0,734302062;0,684865065;;;
316;0,683742263;0,707275962;;;
